car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
51,LMGT3,296 GT3,Ferrari,Competition Racing,120,2.0,82.0,0.9949816047538945,1.0450714306409916,race_001_laguna_seca,1
58,LMGT3,M4 GT3,BMW,Racing Factory,120,2.0,82.0,1.0092797576724561,1.0098658484197036,race_001_laguna_seca,1
87,LMGT3,296 GT3,Ferrari,Performance Team,120,2.0,82.0,0.9862407456176975,0.9655994520336202,race_001_laguna_seca,1
55,LMGT3,911 GT3 R (992),Porsche,Motorsport Racing,120,2.0,82.0,0.982323344486728,1.0366176145774935,race_001_laguna_seca,1
88,LMGT3,RC F GT3,Lexus,Racing Factory,120,2.0,82.0,1.0040446004697283,1.0208072577796046,race_001_laguna_seca,1
95,LMGT3,M4 GT3,BMW,Endurance Works,120,2.0,82.0,0.9808233797718321,1.0469909852161994,race_001_laguna_seca,1
78,LMGT3,M4 GT3,BMW,Endurance Sport,120,2.0,82.0,1.013297705632017,0.9712339110678276,race_001_laguna_seca,1
98,LMGT3,911 GT3 R (992),Porsche,Motorsport Works,120,2.0,82.0,0.987272998688284,0.9683404509853434,race_001_laguna_seca,1
67,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Motorsport Racing,120,2.0,82.0,0.9921696897183815,1.0024756431632238,race_001_laguna_seca,1
56,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Racing Works,120,2.0,82.0,0.9972778007456846,0.9791229140198042,race_001_laguna_seca,1
72,LMGT3,296 GT3,Ferrari,Competition Factory,120,2.0,82.0,1.0044741157888952,0.9639493860652042,race_001_laguna_seca,1
52,LMGT3,Vantage GT3,Aston Martin,Performance Factory,120,2.0,82.0,0.9916857859414088,0.9866361843293692,race_001_laguna_seca,1
74,LMGT3,296 GT3,Ferrari,Racing Factory,120,2.0,82.0,0.9982427993686814,1.0285175961393014,race_001_laguna_seca,1
90,LMGT3,Vantage GT3,Aston Martin,Endurance Sport,120,2.0,82.0,0.9879869512863344,1.0014234438413612,race_001_laguna_seca,1
62,LMGT3,Z NISMO GT3,Nissan,Racing Team,120,2.0,82.0,1.0036965827544817,0.9546450412719998,race_001_laguna_seca,1
99,LMGT3,M4 GT3,BMW,Competition Team,120,2.0,82.0,1.0043017940760575,0.9670524123687291,race_001_laguna_seca,1
117,LMGT3,M4 GT3,BMW,Competition Racing,120,2.0,82.0,0.9826020637194112,1.0448885537253334,race_001_laguna_seca,1
31,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Motorsport Sport,120,1.9,77.08,1.0186252813229824,1.030839734811646,race_001_laguna_seca,1
39,LMP2,296 GT3,Ferrari,Motorsport Factory,120,1.9,77.08,0.9921845507669348,0.9597672114006384,race_001_laguna_seca,1
25,LMP2,M4 GT3,BMW,Performance Works,120,1.9,77.08,1.0073693210604864,0.9940152493739601,race_001_laguna_seca,1
49,LMP2,Vantage GT3,Aston Martin,Endurance Racing,120,1.9,77.08,0.9848815293937911,0.999517691011127,race_001_laguna_seca,1
46,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Racing Racing,120,1.9,77.08,0.9813755408446088,1.0409320402078783,race_001_laguna_seca,1
45,LMP2,911 GT3 R (992),Porsche,Competition Works,120,1.9,77.08,0.9903511992640006,1.0162522284353983,race_001_laguna_seca,1
22,LMP2,Vantage GT3,Aston Martin,Motorsport Factory,120,1.9,77.08,0.9924684430435764,1.002006802117781,race_001_laguna_seca,1
26,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Performance Works,120,1.9,77.08,1.0018684111737313,0.9684854455525527,race_001_laguna_seca,1
3,Hypercar,720S GT3 Evo,McLaren,Competition Racing,120,1.7,72.16,1.0187833851105823,1.0275132823361115,race_001_laguna_seca,1
93,Hypercar,M4 GT3,BMW,Endurance Factory,120,1.7,72.16,1.0175799576625675,1.039482735042765,race_001_laguna_seca,1
150,Hypercar,Vantage GT3,Aston Martin,Performance Factory,120,1.7,72.16,1.0039159991524433,1.0421874235023116,race_001_laguna_seca,1
6,Hypercar,R8 LMS GT3 EVO II,Audi,Motorsport Racing,120,1.7,72.16,0.9835397000820768,0.9695982862419145,race_001_laguna_seca,1
8,Hypercar,RC F GT3,Lexus,Racing Team,120,1.7,72.16,0.9818090915564215,0.9825330330763264,race_001_laguna_seca,1
161,Hypercar,296 GT3,Ferrari,Motorsport Works,120,1.7,72.16,0.9955470915875793,0.9771349031773896,race_001_laguna_seca,1
