car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
51,1,82.164,26.942,28.377,26.683,1,1,1,118.1,96.3,Green,dry,29.5,82.164,LMGT3,race_001_laguna_seca,1
51,2,82.685,27.575,28.938,26.046,1,2,1,116.0,92.7,Green,dry,29.5,164.849,LMGT3,race_001_laguna_seca,1
51,3,81.847,27.255,28.578,25.819,1,3,1,114.0,89.0,Green,dry,29.5,246.697,LMGT3,race_001_laguna_seca,1
51,4,81.505,27.043,28.598,25.938,1,4,1,112.0,85.4,Green,dry,29.5,328.202,LMGT3,race_001_laguna_seca,1
51,5,82.735,27.04,28.559,26.128,1,5,1,110.0,81.7,Green,dry,29.8,410.937,LMGT3,race_001_laguna_seca,1
51,6,81.594,26.613,28.343,25.784,1,6,1,108.1,78.1,Green,dry,29.8,492.532,LMGT3,race_001_laguna_seca,1
51,7,82.735,27.327,28.868,26.958,1,7,1,106.2,74.4,Green,dry,29.8,575.267,LMGT3,race_001_laguna_seca,1
51,8,81.519,27.371,28.897,26.403,1,8,1,104.2,70.7,Green,dry,29.8,656.786,LMGT3,race_001_laguna_seca,1
51,9,81.825,27.171,29.068,26.241,1,9,1,102.2,67.1,Green,dry,29.5,738.611,LMGT3,race_001_laguna_seca,1
51,10,82.414,27.466,28.532,26.196,1,10,1,100.3,63.4,Green,dry,29.5,821.025,LMGT3,race_001_laguna_seca,1
51,11,82.246,26.884,28.401,26.429,1,11,1,98.3,59.8,Green,dry,29.5,903.271,LMGT3,race_001_laguna_seca,1
51,12,82.099,26.747,28.716,26.304,1,12,1,96.3,56.1,Green,dry,29.8,985.37,LMGT3,race_001_laguna_seca,1
51,13,81.781,26.622,28.187,26.66,1,13,1,94.3,52.4,Green,dry,29.8,1067.151,LMGT3,race_001_laguna_seca,1
51,14,82.3,26.914,28.986,26.596,1,14,1,92.2,48.8,Green,dry,29.8,1149.45,LMGT3,race_001_laguna_seca,1
51,15,83.899,27.598,29.213,27.277,1,15,1,90.3,45.1,Green,dry,29.8,1233.349,LMGT3,race_001_laguna_seca,1
51,16,84.594,27.54,29.839,27.509,1,16,1,88.2,41.5,Green,dry,30.2,1317.943,LMGT3,race_001_laguna_seca,1
51,17,83.793,27.893,29.402,27.156,1,17,1,86.2,37.8,Green,dry,30.2,1401.737,LMGT3,race_001_laguna_seca,1
51,18,84.014,27.426,29.068,26.549,1,18,1,84.2,34.2,Green,dry,30.2,1485.75,LMGT3,race_001_laguna_seca,1
51,19,85.45,28.221,29.766,27.721,1,19,1,82.2,30.5,Green,dry,30.2,1571.2,LMGT3,race_001_laguna_seca,1
51,20,85.02,27.996,29.634,27.169,1,20,1,80.1,26.8,Green,dry,30.0,1656.22,LMGT3,race_001_laguna_seca,1
51,21,85.156,28.104,29.537,27.65,1,21,1,78.0,23.2,Green,dry,30.0,1741.377,LMGT3,race_001_laguna_seca,1
51,22,82.672,27.722,29.063,26.29,2,1,1,118.1,96.3,Green,dry,30.0,1871.203,LMGT3,race_001_laguna_seca,1
51,23,81.942,27.161,28.713,26.615,2,2,1,116.0,92.7,Green,dry,29.8,1953.145,LMGT3,race_001_laguna_seca,1
51,24,82.265,26.959,28.541,26.569,2,3,1,114.1,89.0,Green,dry,29.8,2035.409,LMGT3,race_001_laguna_seca,1
51,25,81.102,27.026,28.762,25.795,2,4,1,112.1,85.4,Green,dry,29.8,2116.511,LMGT3,race_001_laguna_seca,1
51,26,82.473,27.562,28.493,26.289,2,5,1,110.2,81.7,Green,dry,30.2,2198.983,LMGT3,race_001_laguna_seca,1
51,27,82.507,26.956,29.1,26.622,2,6,1,108.2,78.1,Green,dry,30.2,2281.49,LMGT3,race_001_laguna_seca,1
