car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
51,21,47.154,42.0,True,False,1,1741.377,race_001_laguna_seca,1
51,42,45.746,42.0,True,True,2,3532.138,race_001_laguna_seca,1
51,63,46.487,41.9,True,True,3,5323.274,race_001_laguna_seca,1
51,84,46.221,42.6,True,True,4,7113.566,race_001_laguna_seca,1
51,105,62.177,42.0,True,False,5,8905.187,race_001_laguna_seca,1
51,126,46.277,41.7,True,True,6,10710.61,race_001_laguna_seca,1
51,147,48.27,41.9,True,False,7,12501.948,race_001_laguna_seca,1
51,168,46.301,41.9,True,False,8,14295.502,race_001_laguna_seca,1
51,189,62.546,41.9,True,False,9,16082.516,race_001_laguna_seca,1
51,210,61.02,42.1,True,True,10,17891.375,race_001_laguna_seca,1
51,231,48.754,41.8,True,False,11,19699.623,race_001_laguna_seca,1
51,252,48.27,42.1,True,True,12,21496.159,race_001_laguna_seca,1
51,273,45.22,41.5,True,False,13,23291.912,race_001_laguna_seca,1
51,294,45.491,41.6,True,False,14,25083.891,race_001_laguna_seca,1
51,315,46.664,41.9,True,False,15,26876.719,race_001_laguna_seca,1
51,336,47.05,41.6,True,False,16,28668.47,race_001_laguna_seca,1
51,357,48.469,42.0,True,True,17,30462.323,race_001_laguna_seca,1
51,378,46.76,41.9,True,False,18,32256.844,race_001_laguna_seca,1
51,399,47.256,41.8,True,True,19,34048.281,race_001_laguna_seca,1
51,420,60.792,42.1,True,False,20,35840.76,race_001_laguna_seca,1
51,441,60.71,41.6,True,False,21,37650.333,race_001_laguna_seca,1
51,462,46.344,42.0,True,False,22,39457.562,race_001_laguna_seca,1
51,483,46.495,41.3,True,False,23,41245.39,race_001_laguna_seca,1
58,22,62.134,44.1,True,True,1,1849.777,race_001_laguna_seca,1
58,44,48.798,44.4,True,True,2,3761.386,race_001_laguna_seca,1
58,66,49.411,44.1,True,False,3,5664.032,race_001_laguna_seca,1
58,88,48.115,43.7,True,False,4,7565.129,race_001_laguna_seca,1
58,110,46.604,43.8,True,False,5,9464.565,race_001_laguna_seca,1
58,132,47.071,44.0,True,True,6,11364.818,race_001_laguna_seca,1
58,154,63.466,43.5,True,False,7,13260.643,race_001_laguna_seca,1
58,176,62.265,43.9,True,False,8,15176.601,race_001_laguna_seca,1
58,198,62.521,44.0,True,True,9,17090.103,race_001_laguna_seca,1
58,220,63.182,44.2,True,True,10,19004.886,race_001_laguna_seca,1
58,242,47.636,43.9,True,False,11,20919.454,race_001_laguna_seca,1
58,264,49.016,44.2,True,False,12,22821.252,race_001_laguna_seca,1
58,286,48.775,44.2,True,False,13,24722.807,race_001_laguna_seca,1
58,308,64.414,43.3,True,False,14,26625.545,race_001_laguna_seca,1
58,330,48.756,43.6,True,False,15,28541.459,race_001_laguna_seca,1
58,352,63.308,43.9,True,True,16,30442.974,race_001_laguna_seca,1
58,374,63.658,43.9,True,False,17,32358.682,race_001_laguna_seca,1
58,396,47.815,43.9,True,False,18,34278.527,race_001_laguna_seca,1
58,418,46.994,44.2,True,False,19,36179.654,race_001_laguna_seca,1
58,440,47.069,43.9,True,False,20,38081.842,race_001_laguna_seca,1
58,462,49.381,43.8,True,False,21,39976.434,race_001_laguna_seca,1
58,484,46.497,43.8,True,True,22,41921.603,race_001_laguna_seca,1
87,23,50.168,46.1,True,True,1,1894.64,race_001_laguna_seca,1
87,46,48.064,46.0,True,False,2,3836.304,race_001_laguna_seca,1
87,69,50.403,45.8,True,False,3,5777.596,race_001_laguna_seca,1
87,92,50.251,45.7,True,True,4,7723.32,race_001_laguna_seca,1
87,115,65.458,45.8,True,False,5,9672.197,race_001_laguna_seca,1
87,138,47.074,45.9,True,True,6,11636.044,race_001_laguna_seca,1
87,161,49.769,45.7,True,True,7,13577.896,race_001_laguna_seca,1
87,184,63.378,46.0,True,True,8,15523.182,race_001_laguna_seca,1
87,207,50.721,46.0,True,False,9,17481.792,race_001_laguna_seca,1
87,230,48.959,46.2,True,True,10,19427.012,race_001_laguna_seca,1
87,253,49.557,46.2,True,False,11,21370.149,race_001_laguna_seca,1
87,276,62.827,46.2,True,True,12,23314.766,race_001_laguna_seca,1
87,299,49.94,46.3,True,True,13,25266.602,race_001_laguna_seca,1
87,322,47.065,45.5,True,True,14,27207.152,race_001_laguna_seca,1
87,345,50.23,46.0,True,False,15,29150.776,race_001_laguna_seca,1
87,368,65.772,45.8,True,True,16,31095.643,race_001_laguna_seca,1
87,391,62.023,46.0,True,False,17,33055.761,race_001_laguna_seca,1
87,414,47.18,46.0,True,True,18,35012.401,race_001_laguna_seca,1
87,437,49.733,46.3,True,True,19,36954.767,race_001_laguna_seca,1
87,460,48.279,46.5,True,False,20,38898.834,race_001_laguna_seca,1
87,483,48.305,45.7,True,False,21,40840.004,race_001_laguna_seca,1
87,507,50.61,48.4,True,True,22,43003.613,race_001_laguna_seca,1
55,21,48.732,42.1,True,True,1,1721.089,race_001_laguna_seca,1
55,42,63.947,42.2,True,True,2,3489.43,race_001_laguna_seca,1
55,63,48.345,41.8,True,False,3,5271.078,race_001_laguna_seca,1
55,84,47.601,41.4,True,False,4,7039.729,race_001_laguna_seca,1
55,105,46.867,42.0,True,False,5,8807.041,race_001_laguna_seca,1
55,126,48.739,41.9,True,False,6,10579.325,race_001_laguna_seca,1
55,147,48.749,42.0,True,False,7,12354.158,race_001_laguna_seca,1
55,168,48.321,42.2,True,True,8,14126.552,race_001_laguna_seca,1
55,189,45.474,42.5,True,False,9,15901.265,race_001_laguna_seca,1
55,210,45.406,41.9,True,True,10,17668.938,race_001_laguna_seca,1
55,231,46.429,42.0,True,False,11,19435.532,race_001_laguna_seca,1
55,252,45.927,42.0,True,False,12,21204.293,race_001_laguna_seca,1
55,273,47.293,42.1,True,False,13,22972.693,race_001_laguna_seca,1
55,294,60.219,41.7,True,False,14,24746.159,race_001_laguna_seca,1
55,315,45.664,41.9,True,True,15,26527.191,race_001_laguna_seca,1
55,336,62.33,41.9,True,False,16,28299.249,race_001_laguna_seca,1
55,357,48.045,41.9,True,False,17,30085.206,race_001_laguna_seca,1
55,378,63.506,41.8,True,False,18,31857.136,race_001_laguna_seca,1
55,399,63.436,42.2,True,False,19,33643.781,race_001_laguna_seca,1
55,420,60.309,41.7,True,False,20,35428.464,race_001_laguna_seca,1
55,441,47.88,42.1,True,True,21,37214.193,race_001_laguna_seca,1
55,462,46.309,42.2,True,False,22,38983.885,race_001_laguna_seca,1
