car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
68,1,107.833,35.613,38.1,34.191,1,1,1,117.3,98.5,Green,dry,28.7,107.833,LMGT3,race_002_monza,2
68,2,107.684,35.584,37.753,34.761,1,2,1,114.6,97.0,Green,dry,28.7,215.517,LMGT3,race_002_monza,2
68,3,105.787,35.194,37.436,33.379,1,3,1,112.0,95.5,Green,dry,28.7,321.304,LMGT3,race_002_monza,2
68,4,106.934,34.877,37.843,34.706,1,4,1,109.4,93.9,Green,dry,28.7,428.238,LMGT3,race_002_monza,2
68,5,105.773,35.315,37.448,33.874,1,5,1,106.9,92.4,Green,dry,28.7,534.01,LMGT3,race_002_monza,2
68,6,105.763,35.363,36.643,33.633,1,6,1,104.3,90.9,Green,dry,28.7,639.774,LMGT3,race_002_monza,2
68,7,106.525,34.944,37.052,33.706,1,7,1,101.5,89.4,Green,dry,29.2,746.299,LMGT3,race_002_monza,2
68,8,105.716,35.232,36.618,33.837,1,8,1,99.1,87.9,Green,dry,29.2,852.015,LMGT3,race_002_monza,2
68,9,106.094,35.218,37.205,34.425,1,9,1,96.5,86.4,Green,dry,29.2,958.109,LMGT3,race_002_monza,2
68,10,105.707,34.904,36.884,33.566,1,10,1,93.9,84.8,Green,dry,28.9,1063.816,LMGT3,race_002_monza,2
68,11,107.257,35.546,37.107,33.954,1,11,1,91.2,83.3,Green,dry,28.9,1171.073,LMGT3,race_002_monza,2
68,12,106.258,35.381,36.765,34.401,1,12,1,88.5,81.8,Green,dry,28.9,1277.331,LMGT3,race_002_monza,2
68,13,106.761,35.649,37.319,33.724,1,13,1,86.0,80.3,Green,dry,29.1,1384.092,LMGT3,race_002_monza,2
68,14,107.34,35.279,37.955,34.296,1,14,1,83.3,78.8,Green,dry,29.1,1491.432,LMGT3,race_002_monza,2
68,15,106.128,35.173,37.48,33.53,1,15,1,80.7,77.3,Green,dry,29.1,1597.559,LMGT3,race_002_monza,2
68,16,106.324,35.438,37.027,34.517,1,16,1,78.0,75.7,Green,dry,29.3,1703.883,LMGT3,race_002_monza,2
68,17,107.746,35.064,37.57,34.865,1,17,1,75.6,74.2,Green,dry,29.3,1811.629,LMGT3,race_002_monza,2
68,18,107.912,35.852,37.749,34.205,1,18,1,73.0,72.7,Green,dry,29.1,1919.541,LMGT3,race_002_monza,2
68,19,107.02,35.013,36.99,33.768,1,19,1,70.5,71.2,Green,dry,29.1,2026.561,LMGT3,race_002_monza,2
68,20,106.576,35.009,37.667,34.377,1,20,1,67.9,69.7,Green,dry,29.1,2133.137,LMGT3,race_002_monza,2
68,21,108.026,36.142,37.483,35.003,1,21,1,65.4,68.2,Green,dry,29.0,2241.163,LMGT3,race_002_monza,2
68,22,107.781,35.936,37.704,34.662,1,22,1,62.7,66.6,Green,dry,29.0,2348.944,LMGT3,race_002_monza,2
68,23,107.976,35.566,38.143,34.245,1,23,1,60.1,65.1,Green,dry,29.0,2456.92,LMGT3,race_002_monza,2
68,24,108.025,35.523,37.397,34.374,1,24,1,57.4,63.6,Green,dry,29.3,2564.944,LMGT3,race_002_monza,2
68,25,106.923,35.427,37.108,34.507,1,25,1,54.7,62.1,Green,dry,29.3,2671.867,LMGT3,race_002_monza,2
68,26,107.541,35.141,37.826,34.084,1,26,1,52.1,60.6,Green,dry,29.3,2779.408,LMGT3,race_002_monza,2
68,27,107.266,35.088,37.175,34.692,1,27,1,49.5,59.1,Green,dry,29.7,2886.673,LMGT3,race_002_monza,2
68,28,106.187,35.474,37.346,33.857,1,28,1,46.8,57.5,Green,dry,29.7,2992.86,LMGT3,race_002_monza,2
68,29,106.181,35.035,37.113,34.002,1,29,1,44.2,56.0,Green,dry,29.7,3099.04,LMGT3,race_002_monza,2
68,30,107.284,35.428,37.439,33.936,1,30,1,41.5,54.5,Green,dry,30.0,3206.325,LMGT3,race_002_monza,2
68,31,106.601,35.309,37.363,34.325,1,31,1,38.9,53.0,Green,dry,30.0,3312.926,LMGT3,race_002_monza,2
68,32,108.212,35.444,38.072,34.276,1,32,1,36.4,51.5,Green,dry,30.2,3421.137,LMGT3,race_002_monza,2
68,33,107.093,35.753,37.451,34.233,1,33,1,33.8,50.0,Green,dry,30.2,3528.23,LMGT3,race_002_monza,2
68,34,109.341,35.904,38.416,35.273,1,34,1,31.1,48.4,Green,dry,30.2,3637.571,LMGT3,race_002_monza,2
68,35,108.586,36.321,37.908,34.806,1,35,1,28.6,46.9,Green,dry,29.9,3746.157,LMGT3,race_002_monza,2
68,36,109.055,36.41,38.357,35.024,1,36,1,26.1,45.4,Green,dry,29.9,3855.212,LMGT3,race_002_monza,2
68,37,108.101,35.373,38.118,34.389,1,37,1,23.5,43.9,Green,dry,29.9,3963.313,LMGT3,race_002_monza,2
68,38,109.75,36.648,38.73,35.146,1,38,1,20.9,42.4,Green,dry,29.7,4073.063,LMGT3,race_002_monza,2
68,39,106.652,35.538,37.759,34.22,2,1,1,117.3,98.5,Green,dry,29.7,4275.008,LMGT3,race_002_monza,2
68,40,108.086,35.264,37.8,34.448,2,2,1,114.8,97.0,Green,dry,29.3,4383.093,LMGT3,race_002_monza,2
68,41,105.475,35.206,36.521,33.912,2,3,1,112.3,95.5,Green,dry,29.3,4488.568,LMGT3,race_002_monza,2
68,42,107.127,35.098,37.508,33.986,2,4,1,109.7,93.9,Green,dry,29.3,4595.695,LMGT3,race_002_monza,2
68,43,105.832,34.542,36.719,34.24,2,5,1,107.3,92.4,Green,dry,28.9,4701.528,LMGT3,race_002_monza,2
68,44,106.567,35.281,36.938,34.307,2,6,1,104.6,90.9,Green,dry,28.9,4808.095,LMGT3,race_002_monza,2
68,45,107.456,35.454,37.785,34.549,2,7,1,101.9,89.4,Green,dry,28.9,4915.551,LMGT3,race_002_monza,2
