car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
68,38,95.292,99.1,True,False,1,4073.063,race_002_monza,2
68,76,82.543,98.5,True,False,2,8455.77,race_002_monza,2
68,114,80.671,98.1,True,False,3,13003.342,race_002_monza,2
68,152,80.922,98.7,False,True,4,17782.571,race_002_monza,2
68,190,82.257,98.6,False,False,5,22943.553,race_002_monza,2
68,228,81.138,98.7,False,False,6,28104.53,race_002_monza,2
68,266,95.793,98.4,False,False,7,33248.915,race_002_monza,2
68,304,96.032,98.2,False,False,8,38421.218,race_002_monza,2
68,342,97.168,100.1,False,False,9,43581.111,race_002_monza,2
68,380,94.425,98.8,False,False,10,48753.855,race_002_monza,2
68,418,97.647,98.4,False,False,11,53911.404,race_002_monza,2
68,459,85.173,106.1,False,False,12,59702.306,race_002_monza,2
68,497,97.171,98.8,False,True,13,64609.012,race_002_monza,2
68,535,79.636,98.2,True,False,14,69110.223,race_002_monza,2
68,573,80.349,99.1,True,True,15,73252.349,race_002_monza,2
68,611,80.79,98.7,True,False,16,77406.916,race_002_monza,2
68,649,80.692,98.6,True,True,17,81562.661,race_002_monza,2
68,687,81.096,98.5,True,True,18,85713.684,race_002_monza,2
92,38,96.481,98.5,True,True,1,4069.454,race_002_monza,2
92,76,95.485,99.5,True,False,2,8445.767,race_002_monza,2
92,114,96.307,99.4,False,False,3,13017.971,race_002_monza,2
92,152,82.107,98.8,False,True,4,17812.725,race_002_monza,2
92,190,80.368,99.0,False,True,5,22978.375,race_002_monza,2
92,228,81.528,98.5,False,False,6,28135.61,race_002_monza,2
92,266,82.063,98.4,False,True,7,33300.82,race_002_monza,2
92,304,95.19,98.8,False,False,8,38458.835,race_002_monza,2
92,342,81.077,99.3,False,False,9,43624.688,race_002_monza,2
92,380,96.946,98.8,False,False,10,48786.172,race_002_monza,2
92,418,80.896,98.4,False,True,11,53957.822,race_002_monza,2
92,458,84.799,103.8,False,True,12,59605.697,race_002_monza,2
92,496,95.614,99.2,False,False,13,64529.798,race_002_monza,2
92,534,79.848,98.5,True,False,14,69048.166,race_002_monza,2
92,572,81.408,98.9,True,False,15,73205.705,race_002_monza,2
92,610,95.176,99.0,True,False,16,77363.37,race_002_monza,2
92,648,80.083,97.9,True,False,17,81530.411,race_002_monza,2
92,686,98.002,98.6,True,False,18,85681.471,race_002_monza,2
81,38,82.454,98.2,True,True,1,4115.151,race_002_monza,2
81,76,82.257,98.4,True,True,2,8532.172,race_002_monza,2
81,114,81.138,98.7,True,True,3,13122.309,race_002_monza,2
81,152,95.696,98.5,False,False,4,17955.251,race_002_monza,2
81,190,82.487,98.8,False,False,5,23171.783,race_002_monza,2
81,228,79.732,99.1,False,False,6,28369.122,race_002_monza,2
81,266,97.206,98.9,False,False,7,33564.219,race_002_monza,2
81,304,81.332,98.5,False,False,8,38770.072,race_002_monza,2
81,342,97.461,99.1,False,False,9,43968.575,race_002_monza,2
81,380,79.765,99.0,False,True,10,49181.834,race_002_monza,2
81,418,82.728,99.5,False,False,11,54377.467,race_002_monza,2
81,456,94.528,98.9,False,False,12,59797.385,race_002_monza,2
81,494,82.785,99.7,False,False,13,64740.04,race_002_monza,2
81,532,81.415,99.4,True,False,14,69255.34,race_002_monza,2
81,570,98.245,98.8,True,False,15,73439.524,race_002_monza,2
81,608,95.92,98.6,True,True,16,77644.439,race_002_monza,2
81,646,80.555,98.8,True,False,17,81844.74,race_002_monza,2
81,684,82.304,98.6,True,True,18,86035.723,race_002_monza,2
77,38,82.462,98.7,True,True,1,4157.504,race_002_monza,2
77,76,82.202,99.0,True,False,2,8614.679,race_002_monza,2
77,114,79.149,98.3,True,True,3,13260.849,race_002_monza,2
77,152,81.859,99.0,False,True,4,18173.938,race_002_monza,2
77,190,95.723,98.1,False,True,5,23435.94,race_002_monza,2
77,228,80.704,98.1,False,False,6,28720.157,race_002_monza,2
77,266,82.998,99.1,False,False,7,33988.226,race_002_monza,2
