car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
83,LMGT3,R8 LMS GT3 EVO II,Audi,Endurance Team,120,4.8,234.0,1.013393685946626,0.9604796104369869,race_003_le_mans,3
74,LMGT3,GT3 Evo,Mercedes-AMG,Motorsport Sport,120,4.8,234.0,1.0097856192671808,0.9860500836256285,race_003_le_mans,3
64,LMGT3,911 GT3 R (992),Porsche,Racing Factory,120,4.8,234.0,0.9943724335123229,1.010923838061815,race_003_le_mans,3
56,LMGT3,911 GT3 R (992),Porsche,Motorsport Factory,120,4.8,234.0,0.9957511820435301,0.9909072609860898,race_003_le_mans,3
94,LMGT3,Vantage GT3,Aston Martin,Performance Factory,120,4.8,234.0,1.0003960963835843,1.0210147993327074,race_003_le_mans,3
99,LMGT3,R8 LMS GT3 EVO II,Audi,Competition Sport,120,4.8,234.0,1.0184210490082266,0.9956621108938937,race_003_le_mans,3
71,LMGT3,296 GT3,Ferrari,Competition Factory,120,4.8,234.0,0.9971060608424643,0.961346370111997,race_003_le_mans,3
57,LMGT3,GT3 Evo,Mercedes-AMG,Endurance Team,120,4.8,234.0,0.988715954773861,1.0457472069067917,race_003_le_mans,3
70,LMGT3,Z NISMO GT3,Nissan,Competition Team,120,4.8,234.0,1.0177340288161758,1.0381824281156498,race_003_le_mans,3
52,LMGT3,Vantage GT3,Aston Martin,Competition Works,120,4.8,234.0,1.0058564224961357,0.9713824812130608,race_003_le_mans,3
80,LMGT3,296 GT3,Ferrari,Performance Racing,120,4.8,234.0,1.0054732805522735,0.9639146251984904,race_003_le_mans,3
58,LMGT3,M4 GT3,BMW,Competition Racing,120,4.8,234.0,0.9983481628122145,1.0373863185156318,race_003_le_mans,3
173,LMGT3,911 GT3 R (992),Porsche,Performance Team,120,4.8,234.0,0.990338012234683,1.0164851097762533,race_003_le_mans,3
73,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Performance Works,120,4.8,234.0,1.0145069734414784,0.9648848063044219,race_003_le_mans,3
84,LMGT3,Z NISMO GT3,Nissan,Motorsport Racing,120,4.8,234.0,1.002517998326359,0.9659155263813147,race_003_le_mans,3
79,LMGT3,720S GT3 Evo,McLaren,Competition Factory,120,4.8,234.0,0.9869157970632919,0.9604022960990231,race_003_le_mans,3
67,LMGT3,911 GT3 R (992),Porsche,Motorsport Team,120,4.8,234.0,0.9881175037200067,0.9955189296722888,race_003_le_mans,3
50,LMGT3,M4 GT3,BMW,Endurance Factory,120,4.8,234.0,1.0117829966491287,1.0490822680980783,race_003_le_mans,3
92,LMGT3,RC F GT3,Lexus,Endurance Racing,120,4.8,234.0,1.0122006880232182,0.9877415405716422,race_003_le_mans,3
23,LMP2,R8 LMS GT3 EVO II,Audi,Competition Sport,120,4.56,219.95999999999998,1.0006294970248735,0.9558898921372077,race_003_le_mans,3
46,LMP2,296 GT3,Ferrari,Motorsport Factory,120,4.56,219.95999999999998,1.008443827448121,0.9572507813397636,race_003_le_mans,3
33,LMP2,911 GT3 R (992),Porsche,Racing Factory,120,4.56,219.95999999999998,1.0153044632771953,1.0226057818566558,race_003_le_mans,3
37,LMP2,720S GT3 Evo,McLaren,Motorsport Team,120,4.56,219.95999999999998,1.0133346484976702,1.0210230683829618,race_003_le_mans,3
40,LMP2,Z NISMO GT3,Nissan,Competition Team,120,4.56,219.95999999999998,1.0078971967281676,1.0430102803408172,race_003_le_mans,3
22,LMP2,Vantage GT3,Aston Martin,Racing Works,120,4.56,219.95999999999998,1.0152669099542913,0.9594971983296458,race_003_le_mans,3
25,LMP2,Vantage GT3,Aston Martin,Endurance Racing,120,4.56,219.95999999999998,0.9982598566894961,0.9992723491856644,race_003_le_mans,3
28,LMP2,911 GT3 R (992),Porsche,Performance Sport,120,4.56,219.95999999999998,0.9843589401574333,0.9653734460861749,race_003_le_mans,3
36,LMP2,296 GT3,Ferrari,Endurance Sport,120,4.56,219.95999999999998,1.0193713613322604,0.9771560153711949,race_003_le_mans,3
125,Hypercar,RC F GT3,Lexus,Racing Sport,120,4.08,205.92,1.0158860754649748,0.9664234645524085,race_003_le_mans,3
5,Hypercar,720S GT3 Evo,McLaren,Performance Works,120,4.08,205.92,0.9852943317895412,0.9817353402669319,race_003_le_mans,3
116,Hypercar,Vantage GT3,Aston Martin,Racing Sport,120,4.08,205.92,0.9922969023530249,0.99220551867544,race_003_le_mans,3
3,Hypercar,Vantage GT3,Aston Martin,Motorsport Racing,120,4.08,205.92,0.9932398556320307,1.0068075372921248,race_003_le_mans,3
8,Hypercar,296 GT3,Ferrari,Performance Sport,120,4.08,205.92,0.9838113864624459,1.0297977484851188,race_003_le_mans,3
2,Hypercar,720S GT3 Evo,McLaren,Competition Factory,120,4.08,205.92,0.9907462548191172,1.0411414912922363,race_003_le_mans,3
191,Hypercar,GT3 Evo,Mercedes-AMG,Endurance Factory,120,4.08,205.92,1.0160697591866343,0.9515857800351264,race_003_le_mans,3
