car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
83,1,241.0,79.9,84.836,76.889,1,1,1,115.3,98.6,Green,dry,30.1,241.0,LMGT3,race_003_le_mans,3
83,2,240.019,79.621,83.802,76.7,1,2,1,110.7,97.1,Green,dry,30.1,481.019,LMGT3,race_003_le_mans,3
83,3,235.059,77.647,82.517,74.8,1,3,1,105.8,95.7,Green,dry,30.2,716.078,LMGT3,race_003_le_mans,3
83,4,238.077,78.937,83.268,76.399,1,4,1,101.1,94.2,Green,dry,30.5,954.155,LMGT3,race_003_le_mans,3
83,5,238.499,78.918,83.511,76.49,1,5,1,96.2,92.8,Green,dry,30.8,1192.654,LMGT3,race_003_le_mans,3
83,6,236.531,77.771,82.644,76.16,1,6,1,91.4,91.4,Green,dry,30.8,1429.186,LMGT3,race_003_le_mans,3
83,7,238.6,78.313,83.904,76.521,1,7,1,86.7,89.9,Green,dry,31.2,1667.786,LMGT3,race_003_le_mans,3
83,8,235.179,77.217,82.661,74.988,1,8,1,81.8,88.5,Green,dry,31.4,1902.965,LMGT3,race_003_le_mans,3
83,9,237.983,78.308,83.433,76.432,1,9,1,77.2,87.0,Green,dry,31.5,2140.948,LMGT3,race_003_le_mans,3
83,10,235.765,77.335,82.022,75.897,1,10,1,72.4,85.6,Green,dry,31.7,2376.713,LMGT3,race_003_le_mans,3
83,11,238.099,78.829,82.959,76.013,1,11,1,67.7,84.2,Green,dry,31.7,2614.812,LMGT3,race_003_le_mans,3
83,12,260.357,85.467,91.083,83.551,1,12,1,62.7,82.9,Green,damp,31.4,2875.168,LMGT3,race_003_le_mans,3
83,13,262.456,86.709,92.239,84.187,1,13,1,57.9,81.6,Green,damp,31.8,3137.624,LMGT3,race_003_le_mans,3
83,14,263.791,87.213,92.597,84.556,1,14,1,53.1,80.3,Green,damp,31.5,3401.415,LMGT3,race_003_le_mans,3
