car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
76,LMGT3,Vantage GT3,Aston Martin,Performance Sport,120,3.0,122.0,1.019560460539024,1.0049544726844726,race_004_road_america,4
69,LMGT3,296 GT3,Ferrari,Competition Team,120,3.0,122.0,0.9912578920782025,0.9577289566079172,race_004_road_america,4
80,LMGT3,296 GT3,Ferrari,Racing Team,120,3.0,122.0,0.9977787798388721,0.9972807969755485,race_004_road_america,4
57,LMGT3,Vantage GT3,Aston Martin,Competition Team,120,3.0,122.0,0.9819408800362578,0.9663324448208267,race_004_road_america,4
54,LMGT3,Z NISMO GT3,Nissan,Motorsport Sport,120,3.0,122.0,0.9846380284599178,1.0127391682704425,race_004_road_america,4
63,LMGT3,GT3 Evo,Mercedes-AMG,Performance Team,120,3.0,122.0,1.014247281943825,1.0150102421087552,race_004_road_america,4
37,LMGT3,Z NISMO GT3,Nissan,Racing Team,120,3.0,122.0,1.019628867390312,0.9970350748403786,race_004_road_america,4
70,LMGT3,GT3 Evo,Mercedes-AMG,Competition Sport,120,3.0,122.0,1.0047317793426944,0.9782667206531167,race_004_road_america,4
56,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Performance Team,120,3.0,122.0,1.0190401326327017,1.0173067999131675,race_004_road_america,4
98,LMGT3,911 GT3 R (992),Porsche,Competition Sport,120,3.0,122.0,0.9976212355509818,0.9789687340252095,race_004_road_america,4
94,LMGT3,R8 LMS GT3 EVO II,Audi,Endurance Factory,120,3.0,122.0,1.0003879873618857,0.9612460895795994,race_004_road_america,4
165,LMGT3,Z NISMO GT3,Nissan,Competition Factory,120,3.0,122.0,0.9890781915736915,0.9978552304661694,race_004_road_america,4
81,LMGT3,911 GT3 R (992),Porsche,Competition Racing,120,3.0,122.0,0.9897103262712045,0.9887982517607167,race_004_road_america,4
59,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Racing Racing,120,3.0,122.0,1.012754937102615,0.9574540785161546,race_004_road_america,4
42,LMP2,720S GT3 Evo,McLaren,Endurance Works,120,2.8499999999999996,114.67999999999999,1.0169259815611067,0.9724896082009458,race_004_road_america,4
26,LMP2,Vantage GT3,Aston Martin,Performance Works,120,2.8499999999999996,114.67999999999999,1.00825485938432,0.9610565456772511,race_004_road_america,4
24,LMP2,R8 LMS GT3 EVO II,Audi,Endurance Works,120,2.8499999999999996,114.67999999999999,1.0040401649409274,0.9906792538088294,race_004_road_america,4
22,LMP2,RC F GT3,Lexus,Endurance Works,120,2.8499999999999996,114.67999999999999,1.0134731780172823,0.9750030427843959,race_004_road_america,4
48,LMP2,911 GT3 R (992),Porsche,Endurance Factory,120,2.8499999999999996,114.67999999999999,0.9983095196584258,1.0057432702682076,race_004_road_america,4
39,LMP2,911 GT3 R (992),Porsche,Endurance Factory,120,2.8499999999999996,114.67999999999999,0.9900780079916622,0.9610241322265732,race_004_road_america,4
6,Hypercar,Vantage GT3,Aston Martin,Competition Racing,120,2.55,107.36,1.0090654878523209,0.9810073937516223,race_004_road_america,4
1,Hypercar,GT3 Evo,Mercedes-AMG,Endurance Sport,120,2.55,107.36,1.0130301586198882,0.9951666526646553,race_004_road_america,4
7,Hypercar,911 GT3 R (992),Porsche,Racing Team,120,2.55,107.36,0.9837655571640197,1.038720323760986,race_004_road_america,4
51,Hypercar,Z NISMO GT3,Nissan,Competition Factory,120,2.55,107.36,1.0096701651184243,0.9621932275434799,race_004_road_america,4
8,Hypercar,Vantage GT3,Aston Martin,Performance Racing,120,2.55,107.36,1.0142347628673452,0.9566938271188349,race_004_road_america,4
