car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
76,1,126.932,41.875,44.275,40.52,1,1,1,117.1,97.5,Green,dry,20.2,126.932,LMGT3,race_004_road_america,4
76,2,124.66,41.559,43.318,40.139,1,2,1,114.0,95.0,Green,dry,20.2,251.593,LMGT3,race_004_road_america,4
76,3,123.804,40.522,43.254,39.634,1,3,1,110.9,92.5,Green,dry,20.2,375.397,LMGT3,race_004_road_america,4
76,4,123.765,40.781,43.239,39.947,1,4,1,107.8,90.0,Green,dry,20.0,499.161,LMGT3,race_004_road_america,4
76,5,123.736,41.228,43.774,39.384,1,5,1,104.7,87.4,Green,dry,20.0,622.898,LMGT3,race_004_road_america,4
76,6,123.923,40.773,43.12,39.421,1,6,1,101.8,84.9,Green,dry,19.6,746.821,LMGT3,race_004_road_america,4
76,7,124.512,40.627,43.391,39.656,1,7,1,98.9,82.4,Green,dry,19.6,871.333,LMGT3,race_004_road_america,4
76,8,125.894,41.259,44.173,39.829,1,8,1,95.7,79.9,Green,dry,19.6,997.227,LMGT3,race_004_road_america,4
76,9,125.159,40.877,43.937,39.582,1,9,1,92.7,77.4,Green,dry,19.7,1122.386,LMGT3,race_004_road_america,4
76,10,125.234,41.114,44.313,40.373,1,10,1,89.8,74.9,Green,dry,19.7,1247.62,LMGT3,race_004_road_america,4
76,11,125.508,41.11,43.904,40.374,1,11,1,86.8,72.4,Green,dry,19.5,1373.128,LMGT3,race_004_road_america,4
76,12,125.869,41.391,44.149,39.819,1,12,1,83.9,69.9,Green,dry,19.5,1498.997,LMGT3,race_004_road_america,4
76,13,124.082,41.244,43.035,39.956,1,13,1,81.0,67.3,Green,dry,19.5,1623.079,LMGT3,race_004_road_america,4
76,14,126.258,41.403,43.825,40.803,1,14,1,78.1,64.8,Green,dry,20.0,1749.337,LMGT3,race_004_road_america,4
76,15,126.023,42.033,44.077,40.395,1,15,1,75.2,62.3,Green,dry,20.0,1875.361,LMGT3,race_004_road_america,4
76,16,125.93,41.733,43.975,40.129,1,16,1,72.1,59.8,Green,dry,20.1,2001.291,LMGT3,race_004_road_america,4
76,17,124.299,41.208,43.382,39.939,1,17,1,69.2,57.3,Green,dry,20.1,2125.59,LMGT3,race_004_road_america,4
76,18,124.188,41.138,43.353,39.673,1,18,1,66.3,54.8,Green,dry,19.8,2249.779,LMGT3,race_004_road_america,4
76,19,125.625,41.737,44.053,40.309,1,19,1,63.3,52.3,Green,dry,19.8,2375.404,LMGT3,race_004_road_america,4
76,20,124.582,40.659,43.974,40.31,1,20,1,60.4,49.8,Green,dry,19.8,2499.986,LMGT3,race_004_road_america,4
76,21,126.497,42.092,43.915,40.151,1,21,1,57.4,47.2,Green,dry,19.8,2626.483,LMGT3,race_004_road_america,4
76,22,126.948,42.259,44.272,40.324,1,22,1,54.4,44.7,Green,dry,19.8,2753.431,LMGT3,race_004_road_america,4
76,23,127.371,42.099,44.458,40.838,1,23,1,51.3,42.2,Green,dry,20.0,2880.802,LMGT3,race_004_road_america,4
76,24,127.181,41.775,44.155,40.685,1,24,1,48.2,39.7,Green,dry,20.0,3007.983,LMGT3,race_004_road_america,4
76,25,126.113,41.211,43.896,40.103,1,25,1,45.2,37.2,Green,dry,19.7,3134.096,LMGT3,race_004_road_america,4
76,26,127.642,42.43,44.465,41.088,1,26,1,42.3,34.7,Green,dry,19.7,3261.738,LMGT3,race_004_road_america,4
76,27,127.646,41.85,44.671,41.289,1,27,1,39.2,32.2,Green,dry,19.7,3389.384,LMGT3,race_004_road_america,4
76,28,126.795,41.405,44.663,40.779,1,28,1,36.2,29.7,Green,dry,20.1,3516.178,LMGT3,race_004_road_america,4
76,29,128.242,42.434,45.378,41.328,1,29,1,33.3,27.1,Green,dry,20.1,3644.42,LMGT3,race_004_road_america,4
76,30,127.572,42.468,44.751,41.014,1,30,1,30.4,24.6,Green,dry,20.3,3771.992,LMGT3,race_004_road_america,4
76,31,124.993,41.41,43.435,40.456,2,1,1,116.9,97.5,Green,dry,20.3,3980.913,LMGT3,race_004_road_america,4
76,32,126.021,41.479,44.263,40.179,2,2,1,113.9,95.0,Green,dry,20.4,4106.934,LMGT3,race_004_road_america,4
76,33,125.244,41.527,43.992,39.733,2,3,1,111.1,92.5,Green,dry,20.4,4232.178,LMGT3,race_004_road_america,4
76,34,125.115,40.93,43.723,39.602,2,4,1,108.1,90.0,Green,dry,20.1,4357.293,LMGT3,race_004_road_america,4
76,35,123.997,40.471,43.139,39.923,2,5,1,105.1,87.4,Green,dry,20.1,4481.291,LMGT3,race_004_road_america,4
76,36,124.285,40.938,43.484,39.638,2,6,1,102.0,84.9,Green,dry,20.1,4605.576,LMGT3,race_004_road_america,4
76,37,125.062,40.957,43.519,39.661,2,7,1,99.2,82.4,Green,dry,20.0,4730.638,LMGT3,race_004_road_america,4
76,38,125.04,41.159,44.212,40.303,2,8,1,96.1,79.9,Green,dry,20.0,4855.677,LMGT3,race_004_road_america,4
76,39,124.582,41.427,44.026,40.23,2,9,1,93.1,77.4,Green,dry,19.9,4980.259,LMGT3,race_004_road_america,4
76,40,124.03,41.182,43.83,39.936,2,10,1,90.0,74.9,Green,dry,19.9,5104.289,LMGT3,race_004_road_america,4
76,41,124.365,41.257,43.956,39.563,2,11,1,87.0,72.4,Green,dry,19.8,5228.653,LMGT3,race_004_road_america,4
76,42,125.731,41.681,43.612,40.383,2,12,1,84.0,69.9,Green,dry,19.8,5354.384,LMGT3,race_004_road_america,4
76,43,185.972,61.342,65.333,59.608,2,13,1,80.9,67.3,SC,dry,19.8,5540.356,LMGT3,race_004_road_america,4
76,44,187.287,61.942,65.138,60.02,2,14,1,77.9,64.8,SC,dry,19.7,5727.643,LMGT3,race_004_road_america,4
76,45,189.773,62.976,66.824,60.293,2,15,1,74.9,62.3,SC,dry,19.3,5917.417,LMGT3,race_004_road_america,4
76,46,124.955,41.136,43.293,39.516,2,16,1,71.8,59.8,Green,dry,19.3,6042.372,LMGT3,race_004_road_america,4
76,47,124.72,41.35,43.868,39.825,2,17,1,68.7,57.3,Green,dry,19.4,6167.091,LMGT3,race_004_road_america,4
76,48,124.215,41.304,43.437,40.164,2,18,1,65.7,54.8,Green,dry,19.4,6291.307,LMGT3,race_004_road_america,4
76,49,124.329,41.496,43.419,39.731,2,19,1,62.6,52.3,Green,dry,19.4,6415.635,LMGT3,race_004_road_america,4
76,50,124.583,40.821,43.282,39.583,2,20,1,59.8,49.8,Green,dry,19.3,6540.218,LMGT3,race_004_road_america,4
76,51,188.614,61.942,66.073,60.069,2,21,1,56.8,47.2,SC,dry,19.3,6728.832,LMGT3,race_004_road_america,4
76,52,191.923,63.065,67.56,61.685,2,22,1,53.6,44.7,SC,dry,19.4,6920.756,LMGT3,race_004_road_america,4
76,53,192.264,63.151,66.797,61.102,2,23,1,50.6,42.2,SC,dry,19.8,7113.02,LMGT3,race_004_road_america,4
76,54,191.392,63.568,66.519,61.399,2,24,1,47.8,39.7,SC,dry,19.8,7304.412,LMGT3,race_004_road_america,4
76,55,127.166,41.574,44.104,40.742,2,25,1,44.9,37.2,Green,dry,19.7,7431.578,LMGT3,race_004_road_america,4
76,56,128.626,42.749,45.458,41.224,2,26,1,42.0,34.7,Green,dry,19.7,7560.204,LMGT3,race_004_road_america,4
76,57,126.637,41.298,44.524,40.034,2,27,1,39.0,32.2,Green,dry,19.3,7686.842,LMGT3,race_004_road_america,4
76,58,127.09,42.306,44.222,40.913,2,28,1,36.1,29.7,Green,dry,19.3,7813.932,LMGT3,race_004_road_america,4
76,59,127.228,42.32,44.847,40.768,2,29,1,33.2,27.1,Green,dry,19.4,7941.16,LMGT3,race_004_road_america,4
76,60,127.706,42.35,44.694,40.463,2,30,1,30.2,24.6,Green,dry,19.4,8068.866,LMGT3,race_004_road_america,4
76,61,124.873,41.465,43.472,39.876,3,1,1,116.9,97.5,Green,dry,19.5,8277.616,LMGT3,race_004_road_america,4
76,62,125.179,41.206,43.403,39.566,3,2,1,114.0,95.0,Green,dry,19.5,8402.795,LMGT3,race_004_road_america,4
76,63,125.018,41.101,44.151,40.428,3,3,1,111.1,92.5,Green,dry,19.3,8527.813,LMGT3,race_004_road_america,4
76,64,123.846,40.728,43.798,39.886,3,4,1,108.2,90.0,Green,dry,19.3,8651.659,LMGT3,race_004_road_america,4
76,65,124.632,41.438,43.58,39.662,3,5,1,105.1,87.4,Green,dry,19.3,8776.291,LMGT3,race_004_road_america,4
76,66,124.357,41.051,43.742,40.227,3,6,1,102.1,84.9,Green,dry,19.8,8900.648,LMGT3,race_004_road_america,4
76,67,125.018,41.139,44.052,40.482,3,7,1,99.2,82.4,Green,dry,19.8,9025.666,LMGT3,race_004_road_america,4
76,68,124.174,41.346,43.421,39.957,3,8,1,96.3,79.9,Green,dry,20.0,9149.84,LMGT3,race_004_road_america,4
