car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
76,30,83.928,89.6,True,False,1,3771.992,race_004_road_america,4
76,60,83.877,89.8,True,False,2,8068.866,race_004_road_america,4
76,90,82.205,89.4,True,False,3,11927.362,race_004_road_america,4
76,120,83.474,90.3,True,True,4,15790.162,race_004_road_america,4
76,150,81.408,90.0,True,False,5,19649.923,race_004_road_america,4
76,181,85.828,93.3,True,False,6,23872.54,race_004_road_america,4
76,214,101.788,99.6,True,False,7,28527.501,race_004_road_america,4
69,32,86.617,96.3,True,False,1,3918.925,race_004_road_america,4
69,64,87.254,95.2,True,True,2,8354.402,race_004_road_america,4
69,96,101.534,96.3,True,False,3,12364.694,race_004_road_america,4
69,128,99.134,96.0,True,False,4,16375.674,race_004_road_america,4
69,160,86.521,96.0,True,False,5,20542.679,race_004_road_america,4
69,193,87.31,98.1,True,False,6,24856.735,race_004_road_america,4
80,31,86.432,93.0,True,False,1,3827.718,race_004_road_america,4
80,62,86.086,92.9,True,False,2,8170.403,race_004_road_america,4
80,93,101.014,92.4,True,False,3,12079.245,race_004_road_america,4
80,124,99.247,93.4,True,False,4,16002.938,race_004_road_america,4
80,155,100.964,93.3,True,False,5,19934.186,race_004_road_america,4
80,186,99.646,92.6,True,True,6,24120.609,race_004_road_america,4
80,219,87.912,98.5,True,False,7,28692.653,race_004_road_america,4
57,32,84.113,95.8,True,False,1,3883.256,race_004_road_america,4
57,64,86.063,96.2,True,False,2,8271.321,race_004_road_america,4
57,96,101.569,96.2,True,False,3,12240.635,race_004_road_america,4
57,128,88.052,96.4,True,False,4,16223.411,race_004_road_america,4
57,160,101.859,95.6,True,True,5,20246.338,race_004_road_america,4
57,193,88.414,99.3,True,True,6,24564.632,race_004_road_america,4
54,30,84.784,90.6,True,True,1,3655.693,race_004_road_america,4
54,60,81.176,90.1,True,True,2,7880.584,race_004_road_america,4
54,90,98.096,90.0,True,True,3,11613.719,race_004_road_america,4
54,120,84.971,90.2,True,False,4,15365.098,race_004_road_america,4
54,150,99.231,89.9,True,True,5,19101.969,race_004_road_america,4
54,180,81.25,89.2,True,False,6,23011.363,race_004_road_america,4
54,213,87.687,98.2,True,False,7,27517.29,race_004_road_america,4
63,30,96.765,90.1,True,False,1,3760.596,race_004_road_america,4
63,60,83.81,90.1,True,False,2,8057.311,race_004_road_america,4
63,90,82.992,90.4,True,False,3,11893.89,race_004_road_america,4
63,120,99.038,90.1,True,False,4,15741.917,race_004_road_america,4
63,150,84.237,90.4,True,False,5,19596.813,race_004_road_america,4
63,181,85.476,92.7,True,False,6,23805.664,race_004_road_america,4
63,214,88.925,99.3,True,True,7,28439.181,race_004_road_america,4
37,31,100.443,93.2,True,True,1,3900.779,race_004_road_america,4
37,62,84.794,93.9,True,False,2,8345.083,race_004_road_america,4
37,93,86.091,92.6,True,False,3,12337.942,race_004_road_america,4
37,124,98.955,93.1,True,True,4,16334.803,race_004_road_america,4
37,155,84.104,92.6,True,False,5,20442.991,race_004_road_america,4
37,187,85.107,95.7,True,False,6,24727.488,race_004_road_america,4
70,31,86.721,93.5,True,False,1,3849.794,race_004_road_america,4
70,62,86.511,94.1,True,True,2,8270.852,race_004_road_america,4
70,93,84.919,92.2,True,True,3,12209.667,race_004_road_america,4
70,124,83.246,92.3,True,False,4,16143.153,race_004_road_america,4
70,155,86.264,93.8,True,False,5,20076.761,race_004_road_america,4
70,187,85.532,96.2,True,True,6,24376.099,race_004_road_america,4
56,30,82.272,90.1,True,False,1,3779.194,race_004_road_america,4
56,60,83.573,89.6,True,True,2,8084.0,race_004_road_america,4
56,90,98.73,90.1,True,True,3,11940.381,race_004_road_america,4
56,120,97.273,89.4,True,False,4,15806.99,race_004_road_america,4
56,150,83.075,89.6,True,False,5,19682.34,race_004_road_america,4
56,181,100.717,93.2,True,True,6,23909.045,race_004_road_america,4
56,214,87.948,100.0,True,False,7,28573.854,race_004_road_america,4
98,31,85.954,93.7,True,False,1,3827.059,race_004_road_america,4
98,62,97.975,93.7,True,False,2,8164.761,race_004_road_america,4
98,93,98.274,92.4,True,True,3,12083.68,race_004_road_america,4
98,124,85.4,93.2,True,False,4,15996.751,race_004_road_america,4
98,155,86.26,93.4,True,True,5,19897.551,race_004_road_america,4
98,187,86.389,95.4,True,False,6,24206.434,race_004_road_america,4
94,32,85.23,96.6,True,False,1,3955.608,race_004_road_america,4
94,64,85.334,95.8,True,False,2,8428.448,race_004_road_america,4
94,96,101.97,96.2,True,False,3,12463.23,race_004_road_america,4
94,128,84.802,96.2,True,False,4,16520.826,race_004_road_america,4
94,160,100.182,95.6,True,False,5,20711.876,race_004_road_america,4
94,193,87.141,99.4,True,False,6,25092.957,race_004_road_america,4
165,31,82.694,93.2,True,False,1,3789.709,race_004_road_america,4
165,62,84.014,92.6,True,False,2,8092.836,race_004_road_america,4
165,93,85.29,92.2,True,True,3,11974.258,race_004_road_america,4
165,124,86.016,93.2,True,True,4,15850.411,race_004_road_america,4
165,155,85.948,93.5,True,False,5,19728.87,race_004_road_america,4
165,186,98.103,94.1,True,False,6,23834.987,race_004_road_america,4
165,219,101.675,98.4,True,False,7,28373.457,race_004_road_america,4
81,31,82.991,93.1,True,True,1,3798.871,race_004_road_america,4
81,62,84.616,92.8,True,False,2,8104.562,race_004_road_america,4
