car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
75,1,99.425,32.508,34.77,31.576,1,1,1,117.7,97.5,Green,dry,25.1,99.425,LMGT3,race_005_watkins_glen,5
75,2,100.503,33.552,35.416,32.585,1,2,1,115.3,94.9,Green,dry,25.1,199.928,LMGT3,race_005_watkins_glen,5
75,3,100.23,33.487,35.332,31.575,1,3,1,112.8,92.4,Green,dry,25.1,300.158,LMGT3,race_005_watkins_glen,5
75,4,98.615,32.073,34.673,31.522,1,4,1,110.3,89.9,Green,dry,25.0,398.773,LMGT3,race_005_watkins_glen,5
75,5,99.247,32.946,34.272,31.443,1,5,1,107.9,87.3,Green,dry,25.0,498.02,LMGT3,race_005_watkins_glen,5
75,6,99.216,32.718,34.75,32.088,1,6,1,105.5,84.8,Green,dry,25.0,597.236,LMGT3,race_005_watkins_glen,5
75,7,98.617,32.659,34.705,31.875,1,7,1,103.0,82.3,Green,dry,25.0,695.852,LMGT3,race_005_watkins_glen,5
75,8,99.614,32.556,35.239,32.008,1,8,1,100.5,79.7,Green,dry,25.0,795.467,LMGT3,race_005_watkins_glen,5
75,9,99.126,32.782,34.691,32.016,1,9,1,98.2,77.2,Green,dry,25.0,894.593,LMGT3,race_005_watkins_glen,5
75,10,99.613,32.762,35.351,31.597,1,10,1,95.8,74.7,Green,dry,25.0,994.207,LMGT3,race_005_watkins_glen,5
75,11,100.576,32.954,34.884,31.82,1,11,1,93.3,72.1,Green,dry,24.9,1094.783,LMGT3,race_005_watkins_glen,5
75,12,100.522,33.145,34.892,32.549,1,12,1,91.0,69.6,Green,dry,24.9,1195.305,LMGT3,race_005_watkins_glen,5
75,13,100.106,33.384,34.551,31.726,1,13,1,88.5,67.1,Green,dry,24.9,1295.411,LMGT3,race_005_watkins_glen,5
75,14,100.512,33.643,34.727,31.808,1,14,1,86.0,64.5,Green,dry,24.5,1395.922,LMGT3,race_005_watkins_glen,5
75,15,99.732,32.762,35.218,32.307,1,15,1,83.7,62.0,Green,dry,24.5,1495.654,LMGT3,race_005_watkins_glen,5
75,16,99.499,33.25,34.941,32.145,1,16,1,81.4,59.5,Green,dry,24.5,1595.154,LMGT3,race_005_watkins_glen,5
