car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
75,30,64.693,72.5,True,False,1,3017.42,race_005_watkins_glen,5
75,60,67.202,72.9,True,False,2,6102.276,race_005_watkins_glen,5
75,90,82.186,72.4,True,True,3,9191.358,race_005_watkins_glen,5
75,120,64.882,71.7,True,False,4,12296.959,race_005_watkins_glen,5
75,150,66.274,72.1,True,False,5,15385.785,race_005_watkins_glen,5
75,180,66.334,72.1,True,False,6,18739.854,race_005_watkins_glen,5
75,213,70.43,79.6,True,True,7,22679.382,race_005_watkins_glen,5
75,246,70.852,79.3,True,True,8,26408.521,race_005_watkins_glen,5
75,287,94.684,97.9,True,True,9,32078.581,race_005_watkins_glen,5
75,328,94.734,97.8,True,False,10,37330.533,race_005_watkins_glen,5
75,362,87.28,81.6,True,False,11,41248.655,race_005_watkins_glen,5
64,30,63.771,71.4,True,False,1,2951.254,race_005_watkins_glen,5
64,60,64.989,71.4,True,False,2,5976.51,race_005_watkins_glen,5
64,90,66.123,72.7,True,False,3,8999.275,race_005_watkins_glen,5
64,120,64.344,71.8,True,False,4,12028.653,race_005_watkins_glen,5
64,150,79.34,72.4,True,True,5,15046.63,race_005_watkins_glen,5
64,180,65.54,71.4,True,False,6,18354.642,race_005_watkins_glen,5
64,213,70.758,79.8,True,True,7,22209.171,race_005_watkins_glen,5
64,246,67.853,79.6,True,False,8,25861.231,race_005_watkins_glen,5
64,284,74.927,91.3,True,False,9,30800.424,race_005_watkins_glen,5
64,325,80.821,98.3,True,False,10,36106.734,race_005_watkins_glen,5
64,361,71.828,86.6,True,True,11,40290.005,race_005_watkins_glen,5
84,29,64.927,69.5,True,False,1,2862.174,race_005_watkins_glen,5
84,58,63.302,69.9,True,False,2,5787.918,race_005_watkins_glen,5
84,87,64.151,69.7,True,False,3,8715.75,race_005_watkins_glen,5
84,116,80.568,69.6,True,False,4,11645.02,race_005_watkins_glen,5
84,145,65.899,69.6,True,False,5,14588.379,race_005_watkins_glen,5
84,174,65.687,69.7,True,False,6,17796.707,race_005_watkins_glen,5
84,206,66.835,76.2,True,False,7,21509.961,race_005_watkins_glen,5
84,238,70.471,77.0,True,True,8,25046.914,race_005_watkins_glen,5
84,274,71.462,85.9,True,False,9,29531.762,race_005_watkins_glen,5
84,315,78.351,98.0,True,True,10,34983.228,race_005_watkins_glen,5
84,353,77.259,90.8,True,True,11,39527.078,race_005_watkins_glen,5
84,385,81.932,77.1,True,True,12,43082.804,race_005_watkins_glen,5
70,31,68.921,74.8,True,True,1,3027.862,race_005_watkins_glen,5
70,62,82.351,74.6,True,True,2,6126.055,race_005_watkins_glen,5
70,93,66.259,74.5,True,False,3,9236.487,race_005_watkins_glen,5
70,124,81.397,74.8,True,True,4,12335.456,race_005_watkins_glen,5
70,155,83.476,74.6,True,False,5,15488.239,race_005_watkins_glen,5
70,186,81.832,74.3,True,False,6,18839.471,race_005_watkins_glen,5
70,220,69.479,81.6,True,False,7,22787.723,race_005_watkins_glen,5
70,254,69.683,81.6,True,False,8,26511.551,race_005_watkins_glen,5
70,295,79.591,98.7,True,False,9,32059.831,race_005_watkins_glen,5
70,336,79.667,98.8,True,True,10,37138.162,race_005_watkins_glen,5
70,371,86.951,83.6,True,False,11,41052.319,race_005_watkins_glen,5
85,31,68.727,74.5,True,False,1,3142.955,race_005_watkins_glen,5
85,62,84.038,74.2,True,False,2,6346.047,race_005_watkins_glen,5
85,93,66.419,74.4,True,False,3,9568.001,race_005_watkins_glen,5
85,124,64.768,73.5,True,False,4,12772.564,race_005_watkins_glen,5
85,155,83.183,74.0,True,False,5,16219.575,race_005_watkins_glen,5
85,187,69.6,76.8,True,False,6,19776.695,race_005_watkins_glen,5
85,221,71.965,81.2,True,False,7,23738.789,race_005_watkins_glen,5
85,255,85.659,82.8,True,False,8,27912.318,race_005_watkins_glen,5
85,296,92.243,98.1,True,False,9,33504.169,race_005_watkins_glen,5
85,337,78.241,98.6,True,False,10,38668.769,race_005_watkins_glen,5
85,371,71.936,81.5,True,False,11,42530.069,race_005_watkins_glen,5
95,32,68.934,76.2,True,False,1,3183.868,race_005_watkins_glen,5
95,64,69.382,76.9,True,False,2,6434.651,race_005_watkins_glen,5
95,96,69.911,76.7,True,False,3,9689.346,race_005_watkins_glen,5
95,128,67.867,76.7,True,False,4,12947.864,race_005_watkins_glen,5
95,160,82.837,75.9,True,False,5,16450.051,race_005_watkins_glen,5
95,193,67.985,79.1,True,False,6,20191.252,race_005_watkins_glen,5
95,228,87.907,84.2,True,False,7,24090.855,race_005_watkins_glen,5
95,265,73.515,88.8,True,True,8,28625.752,race_005_watkins_glen,5
95,306,96.007,98.8,True,False,9,34056.159,race_005_watkins_glen,5
95,347,80.292,97.1,True,False,10,39082.788,race_005_watkins_glen,5
95,382,87.68,83.5,True,True,11,43000.761,race_005_watkins_glen,5
73,30,63.953,71.8,True,False,1,2970.004,race_005_watkins_glen,5
73,60,65.689,72.5,True,False,2,6007.436,race_005_watkins_glen,5
73,90,83.105,72.3,True,True,3,9053.227,race_005_watkins_glen,5
73,120,67.403,71.7,True,False,4,12117.521,race_005_watkins_glen,5
73,150,65.318,71.3,True,False,5,15164.734,race_005_watkins_glen,5
73,180,65.381,72.3,True,True,6,18493.054,race_005_watkins_glen,5
73,213,86.08,79.9,True,False,7,22380.137,race_005_watkins_glen,5
73,246,68.8,79.6,True,False,8,26069.305,race_005_watkins_glen,5
73,285,89.844,92.6,True,False,9,31204.001,race_005_watkins_glen,5
73,326,93.596,98.4,True,True,10,36523.634,race_005_watkins_glen,5
73,361,85.261,84.4,True,False,11,40591.931,race_005_watkins_glen,5
54,31,66.34,75.1,True,False,1,3124.441,race_005_watkins_glen,5
54,62,67.828,74.5,True,False,2,6324.441,race_005_watkins_glen,5
54,93,66.368,74.3,True,True,3,9518.312,race_005_watkins_glen,5
54,124,69.04,74.4,True,False,4,12717.926,race_005_watkins_glen,5
54,155,68.619,75.4,True,True,5,16116.225,race_005_watkins_glen,5
54,187,68.295,76.8,True,False,6,19624.235,race_005_watkins_glen,5
54,221,69.287,81.8,True,False,7,23632.128,race_005_watkins_glen,5
54,256,72.457,84.0,True,False,8,27908.814,race_005_watkins_glen,5
54,297,79.764,98.9,True,False,9,33464.338,race_005_watkins_glen,5
54,338,93.573,97.9,True,False,10,38598.97,race_005_watkins_glen,5
54,372,68.832,81.4,True,False,11,42466.092,race_005_watkins_glen,5
57,30,67.437,72.0,True,False,1,2936.32,race_005_watkins_glen,5
57,60,80.859,71.8,True,False,2,5945.165,race_005_watkins_glen,5
57,90,64.197,71.3,True,True,3,8970.815,race_005_watkins_glen,5
57,120,67.243,72.0,True,True,4,11976.496,race_005_watkins_glen,5
57,150,64.069,71.5,True,False,5,14985.018,race_005_watkins_glen,5
57,180,65.396,71.5,True,True,6,18256.572,race_005_watkins_glen,5
57,213,70.653,79.7,True,False,7,22097.76,race_005_watkins_glen,5
57,246,83.363,79.8,True,False,8,25731.844,race_005_watkins_glen,5
57,284,75.63,91.4,True,True,9,30647.129,race_005_watkins_glen,5
57,325,95.864,98.4,True,True,10,35932.713,race_005_watkins_glen,5
57,361,72.144,86.2,True,True,11,40121.704,race_005_watkins_glen,5
82,30,64.281,72.3,True,False,1,2969.213,race_005_watkins_glen,5
82,60,80.506,72.2,True,True,2,6002.651,race_005_watkins_glen,5
82,90,78.803,71.5,True,False,3,9058.461,race_005_watkins_glen,5
82,120,67.848,72.5,True,True,4,12109.9,race_005_watkins_glen,5
82,150,66.47,72.1,True,False,5,15147.461,race_005_watkins_glen,5
82,180,64.694,72.0,True,True,6,18471.76,race_005_watkins_glen,5
82,213,70.855,79.4,True,False,7,22346.215,race_005_watkins_glen,5
82,246,71.119,78.9,True,False,8,26014.663,race_005_watkins_glen,5
82,285,78.41,93.3,True,False,9,31137.728,race_005_watkins_glen,5
82,326,77.794,98.8,True,False,10,36491.589,race_005_watkins_glen,5
82,362,74.682,86.5,True,True,11,40651.941,race_005_watkins_glen,5
56,31,82.671,74.3,True,True,1,3027.445,race_005_watkins_glen,5
56,62,65.937,73.5,True,True,2,6141.247,race_005_watkins_glen,5
56,93,81.247,74.4,True,True,3,9236.583,race_005_watkins_glen,5
56,124,68.976,74.1,True,False,4,12345.018,race_005_watkins_glen,5
56,155,83.473,74.7,True,True,5,15479.759,race_005_watkins_glen,5
56,187,68.397,76.6,True,True,6,18943.261,race_005_watkins_glen,5
56,222,73.493,84.1,True,False,7,22993.787,race_005_watkins_glen,5
56,257,73.548,84.0,True,True,8,26941.606,race_005_watkins_glen,5
56,298,94.763,99.1,True,True,9,32371.764,race_005_watkins_glen,5
56,339,80.317,98.1,True,False,10,37464.402,race_005_watkins_glen,5
56,374,71.761,83.5,True,True,11,41354.536,race_005_watkins_glen,5
88,31,68.883,74.4,True,False,1,3027.961,race_005_watkins_glen,5
88,62,69.023,74.1,True,False,2,6124.672,race_005_watkins_glen,5
88,93,66.441,74.4,True,True,3,9224.518,race_005_watkins_glen,5
88,124,81.934,74.5,True,False,4,12325.094,race_005_watkins_glen,5
88,155,68.406,74.7,True,False,5,15477.648,race_005_watkins_glen,5
88,186,68.336,74.4,True,False,6,18811.133,race_005_watkins_glen,5
88,220,69.754,81.3,True,False,7,22745.412,race_005_watkins_glen,5
88,254,71.395,81.4,True,False,8,26467.986,race_005_watkins_glen,5
88,296,79.309,100.9,True,False,9,32093.832,race_005_watkins_glen,5
88,337,92.586,98.0,True,False,10,37173.4,race_005_watkins_glen,5
