car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
54,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Performance Factory,120,2.5,102.0,0.984539538875746,1.0474483094436458,race_006_daytona,6
86,LMGT3,720S GT3 Evo,McLaren,Competition Sport,120,2.5,102.0,1.0091493853400442,0.9851467805892702,race_006_daytona,6
74,LMGT3,RC F GT3,Lexus,Performance Factory,120,2.5,102.0,1.0083042055303633,1.0299604601660055,race_006_daytona,6
76,LMGT3,911 GT3 R (992),Porsche,Racing Team,120,2.5,102.0,1.0058224741803317,0.9914599607188166,race_006_daytona,6
66,LMGT3,911 GT3 R (992),Porsche,Performance Factory,120,2.5,102.0,1.0082412404509205,0.9746649381774641,race_006_daytona,6
70,LMGT3,911 GT3 R (992),Porsche,Endurance Works,120,2.5,102.0,0.9902396972519185,0.9524011354145361,race_006_daytona,6
65,LMGT3,M4 GT3,BMW,Endurance Factory,120,2.5,102.0,0.9839490381939524,0.9800436435361288,race_006_daytona,6
78,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Motorsport Team,120,2.5,102.0,1.005634227112417,0.9822207948069479,race_006_daytona,6
73,LMGT3,RC F GT3,Lexus,Competition Factory,120,2.5,102.0,0.9874197655230356,1.0417193549037516,race_006_daytona,6
85,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Racing,120,2.5,102.0,0.9908368321349907,0.9773547891597468,race_006_daytona,6
96,LMGT3,M4 GT3,BMW,Racing Racing,120,2.5,102.0,1.0181765072959417,0.9627114571059063,race_006_daytona,6
56,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Competition Factory,120,2.5,102.0,1.0098905939951748,0.9505237955698902,race_006_daytona,6
82,LMGT3,R8 LMS GT3 EVO II,Audi,Endurance Sport,120,2.5,102.0,1.0142716243145746,1.0195956201321699,race_006_daytona,6
91,LMGT3,296 GT3,Ferrari,Motorsport Sport,120,2.5,102.0,1.002121028169382,1.0435235797449716,race_006_daytona,6
80,LMGT3,M4 GT3,BMW,Racing Works,120,2.5,102.0,1.000504941189742,0.967761206559579,race_006_daytona,6
72,LMGT3,Z NISMO GT3,Nissan,Competition Racing,120,2.5,102.0,1.001474631698578,0.9793459817979897,race_006_daytona,6
92,LMGT3,RC F GT3,Lexus,Endurance Factory,120,2.5,102.0,0.9804240821160264,1.0383800717792246,race_006_daytona,6
145,LMGT3,911 GT3 R (992),Porsche,Performance Sport,120,2.5,102.0,1.0062564259249378,1.0442255972647296,race_006_daytona,6
64,LMGT3,RC F GT3,Lexus,Endurance Team,120,2.5,102.0,1.0097978119107984,0.9767210445760491,race_006_daytona,6
125,LMGT3,M4 GT3,BMW,Competition Factory,120,2.5,102.0,0.9944745151131552,1.0026403885572817,race_006_daytona,6
59,LMGT3,RC F GT3,Lexus,Performance Team,120,2.5,102.0,1.001875398842454,0.9758670323983627,race_006_daytona,6
161,LMGT3,GT3 Evo,Mercedes-AMG,Racing Team,120,2.5,102.0,0.9869854538901257,0.9860710257501395,race_006_daytona,6
36,LMP2,Vantage GT3,Aston Martin,Endurance Factory,120,2.375,95.88,0.9856072906112328,0.9889078655151663,race_006_daytona,6
45,LMP2,720S GT3 Evo,McLaren,Performance Sport,120,2.375,95.88,0.9988755333658318,1.046882692302478,race_006_daytona,6
39,LMP2,911 GT3 R (992),Porsche,Competition Factory,120,2.375,95.88,0.9858226979813376,1.001425472176551,race_006_daytona,6
41,LMP2,RC F GT3,Lexus,Performance Sport,120,2.375,95.88,1.0011060731995827,0.9805242516078614,race_006_daytona,6
38,LMP2,911 GT3 R (992),Porsche,Motorsport Racing,120,2.375,95.88,0.9863869902460031,1.0096911525930885,race_006_daytona,6
33,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Motorsport Racing,120,2.375,95.88,0.9841491524287576,1.0067966088518898,race_006_daytona,6
49,LMP2,720S GT3 Evo,McLaren,Motorsport Racing,120,2.375,95.88,0.9954522552314751,0.9584722047666996,race_006_daytona,6
24,LMP2,296 GT3,Ferrari,Endurance Sport,120,2.375,95.88,1.0024799670843927,1.0148071678552486,race_006_daytona,6
32,LMP2,RC F GT3,Lexus,Racing Sport,120,2.375,95.88,1.0064773578045856,0.9689242809296038,race_006_daytona,6
20,LMP2,720S GT3 Evo,McLaren,Racing Works,120,2.375,95.88,1.018164357816264,0.9559024456269668,race_006_daytona,6
6,Hypercar,296 GT3,Ferrari,Racing Sport,120,2.125,89.76,1.0152082494391075,1.0283758160751246,race_006_daytona,6
3,Hypercar,911 GT3 R (992),Porsche,Motorsport Factory,120,2.125,89.76,0.9900990965872644,1.0427090522539528,race_006_daytona,6
4,Hypercar,720S GT3 Evo,McLaren,Performance Factory,120,2.125,89.76,0.9977900240013119,0.9877151333760216,race_006_daytona,6
51,Hypercar,720S GT3 Evo,McLaren,Endurance Team,120,2.125,89.76,1.0157529391777511,1.0254053869673168,race_006_daytona,6
140,Hypercar,296 GT3,Ferrari,Competition Team,120,2.125,89.76,1.010978320649545,1.0379048511053328,race_006_daytona,6
183,Hypercar,Z NISMO GT3,Nissan,Racing Works,120,2.125,89.76,0.999259292692009,0.9802900725081727,race_006_daytona,6
1,Hypercar,296 GT3,Ferrari,Racing Sport,120,2.125,89.76,0.9977171149296313,1.0028132848239666,race_006_daytona,6
50,Hypercar,911 GT3 R (992),Porsche,Competition Racing,120,2.125,89.76,1.0043257848362226,1.0025244971352154,race_006_daytona,6
