car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
54,29,86.318,71.9,True,True,1,2951.999,race_006_daytona,6
54,58,71.623,72.5,True,False,2,5991.378,race_006_daytona,6
54,88,70.694,74.9,True,True,3,9242.972,race_006_daytona,6
54,120,88.67,80.1,True,False,4,12903.2,race_006_daytona,6
54,152,88.969,79.8,True,True,5,16746.752,race_006_daytona,6
54,184,89.597,79.9,True,False,6,20417.249,race_006_daytona,6
54,223,84.841,97.6,True,False,7,25357.573,race_006_daytona,6
54,262,97.423,98.2,True,True,8,30408.499,race_006_daytona,6
54,301,82.956,97.6,True,False,9,35466.798,race_006_daytona,6
54,340,82.736,97.6,True,False,10,40515.746,race_006_daytona,6
54,379,82.017,97.5,True,False,11,45557.731,race_006_daytona,6
54,418,98.47,97.3,True,False,12,50807.608,race_006_daytona,6
54,459,100.628,102.1,True,False,13,56275.563,race_006_daytona,6
54,498,83.455,97.5,True,True,14,61339.319,race_006_daytona,6
54,539,85.676,102.5,True,False,15,67115.82,race_006_daytona,6
54,578,84.035,96.7,True,False,16,72235.458,race_006_daytona,6
54,617,82.657,97.7,True,False,17,77850.06,race_006_daytona,6
54,656,82.819,97.2,True,True,18,83466.744,race_006_daytona,6
86,31,72.888,77.1,True,True,1,3236.004,race_006_daytona,6
86,62,87.326,77.5,True,False,2,6538.618,race_006_daytona,6
86,95,78.24,83.1,True,True,3,10293.207,race_006_daytona,6
86,129,93.732,84.8,True,False,4,14337.871,race_006_daytona,6
86,163,75.461,84.2,True,True,5,18393.94,race_006_daytona,6
86,200,79.659,91.5,True,False,6,22915.499,race_006_daytona,6
86,239,83.514,97.0,True,True,7,28060.449,race_006_daytona,6
86,278,81.821,97.5,True,False,8,33217.731,race_006_daytona,6
86,317,82.812,97.6,True,False,9,38369.494,race_006_daytona,6
86,356,81.695,97.3,True,False,10,43529.549,race_006_daytona,6
86,395,86.198,98.9,True,False,11,48884.501,race_006_daytona,6
86,434,84.6,97.0,True,True,12,54044.306,race_006_daytona,6
86,473,82.727,97.3,True,False,13,59350.302,race_006_daytona,6
86,512,96.71,96.8,True,False,14,64832.912,race_006_daytona,6
86,551,99.41,97.5,True,False,15,70111.774,race_006_daytona,6
86,590,82.79,97.3,True,False,16,75723.497,race_006_daytona,6
86,629,97.635,97.7,True,False,17,81471.799,race_006_daytona,6
74,30,73.579,75.3,True,True,1,3134.891,race_006_daytona,6
74,60,73.059,75.3,True,True,2,6344.037,race_006_daytona,6
74,91,89.403,78.0,True,False,3,9825.475,race_006_daytona,6
74,124,77.057,82.9,True,True,4,13699.318,race_006_daytona,6
74,157,78.059,82.2,True,True,5,17735.556,race_006_daytona,6
74,190,74.571,82.4,True,True,6,21633.422,race_006_daytona,6
74,229,82.959,98.1,True,False,7,26780.042,race_006_daytona,6
74,268,96.636,96.9,True,False,8,31943.765,race_006_daytona,6
74,307,85.333,97.1,True,True,9,37115.933,race_006_daytona,6
74,346,99.947,97.5,True,False,10,42273.263,race_006_daytona,6
74,385,84.942,96.9,True,False,11,47658.775,race_006_daytona,6
74,424,82.15,97.7,True,False,12,52816.645,race_006_daytona,6
74,463,84.393,96.9,True,False,13,58126.572,race_006_daytona,6
74,502,84.941,97.9,True,False,14,63615.585,race_006_daytona,6
74,541,84.503,97.7,True,False,15,68932.54,race_006_daytona,6
74,580,96.534,97.0,True,True,16,74390.93,race_006_daytona,6
74,619,97.833,97.9,True,False,17,80151.69,race_006_daytona,6
74,658,82.262,97.5,True,False,18,85914.298,race_006_daytona,6
76,31,72.925,78.2,True,False,1,3225.892,race_006_daytona,6
76,62,75.188,77.2,True,False,2,6530.176,race_006_daytona,6
76,95,75.849,81.7,True,True,3,10262.384,race_006_daytona,6
76,129,91.855,84.6,True,False,4,14285.055,race_006_daytona,6
76,163,93.457,84.9,True,False,5,18381.242,race_006_daytona,6
76,200,81.741,92.2,True,False,6,22901.581,race_006_daytona,6
76,239,82.186,97.1,True,False,7,28042.082,race_006_daytona,6
76,278,83.393,97.1,True,False,8,33182.381,race_006_daytona,6
76,317,82.785,98.5,True,False,9,38323.892,race_006_daytona,6
76,356,96.667,96.8,True,False,10,43470.525,race_006_daytona,6
76,395,82.337,98.3,True,False,11,48829.445,race_006_daytona,6
76,434,82.409,97.9,True,False,12,53969.663,race_006_daytona,6
76,473,85.442,97.1,True,True,13,59266.151,race_006_daytona,6
76,512,83.352,97.9,True,True,14,64730.266,race_006_daytona,6
76,551,85.619,97.4,True,True,15,69972.909,race_006_daytona,6
76,590,100.46,97.8,True,True,16,75539.354,race_006_daytona,6
76,629,82.215,97.0,True,False,17,81288.045,race_006_daytona,6
66,31,74.365,77.4,True,True,1,3234.646,race_006_daytona,6
66,62,75.694,77.7,True,True,2,6541.293,race_006_daytona,6
66,95,88.936,81.8,True,False,3,10282.117,race_006_daytona,6
66,130,94.356,87.6,True,False,4,14500.713,race_006_daytona,6
66,165,77.223,88.0,True,True,5,18669.145,race_006_daytona,6
66,203,98.725,94.8,True,False,6,23353.451,race_006_daytona,6
66,242,84.982,97.9,True,False,7,28524.405,race_006_daytona,6
66,281,97.629,97.3,True,False,8,33683.452,race_006_daytona,6
66,320,96.903,96.9,True,True,9,38854.509,race_006_daytona,6
66,359,83.627,98.0,True,False,10,44022.838,race_006_daytona,6
66,398,81.776,96.6,True,False,11,49378.519,race_006_daytona,6
66,437,84.228,98.0,True,False,12,54534.109,race_006_daytona,6
66,476,99.763,97.6,True,False,13,59843.847,race_006_daytona,6
66,515,85.529,97.1,True,True,14,65391.933,race_006_daytona,6
66,554,84.752,97.5,True,False,15,70683.453,race_006_daytona,6
66,593,81.686,97.4,True,False,16,76345.099,race_006_daytona,6
66,632,83.664,97.9,True,False,17,82076.389,race_006_daytona,6
70,32,73.465,79.3,True,False,1,3281.743,race_006_daytona,6
70,64,75.916,80.1,True,False,2,6638.422,race_006_daytona,6
70,98,77.647,85.2,True,False,3,10437.208,race_006_daytona,6
70,133,94.025,87.8,True,True,4,14632.385,race_006_daytona,6
70,168,80.254,87.5,True,False,5,18674.201,race_006_daytona,6
70,207,84.577,97.8,True,True,6,23411.313,race_006_daytona,6
70,246,82.692,97.7,True,False,7,28478.653,race_006_daytona,6
70,285,83.205,97.0,True,True,8,33542.277,race_006_daytona,6
70,324,99.615,97.3,True,False,9,38602.923,race_006_daytona,6
70,363,98.387,98.3,True,False,10,43672.928,race_006_daytona,6
70,402,96.907,97.4,True,False,11,48953.038,race_006_daytona,6
