car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
70,LMGT3,RC F GT3,Lexus,Motorsport Factory,120,2.2,92.0,0.9806996108372461,1.0391573267180259,race_007_barcelona,7
69,LMGT3,RC F GT3,Lexus,Endurance Racing,120,2.2,92.0,0.9913944466989567,0.9798976377458958,race_007_barcelona,7
60,LMGT3,R8 LMS GT3 EVO II,Audi,Motorsport Team,120,2.2,92.0,1.011681370426217,0.9824470597478229,race_007_barcelona,7
91,LMGT3,720S GT3 Evo,McLaren,Motorsport Racing,120,2.2,92.0,1.0145884154676104,0.9947512632213874,race_007_barcelona,7
85,LMGT3,RC F GT3,Lexus,Endurance Racing,120,2.2,92.0,1.0019291962540038,0.985717199482999,race_007_barcelona,7
63,LMGT3,720S GT3 Evo,McLaren,Racing Team,120,2.2,92.0,0.9844924810157084,0.9641897154848297,race_007_barcelona,7
54,LMGT3,R8 LMS GT3 EVO II,Audi,Motorsport Works,120,2.2,92.0,0.9977983630684873,1.0231980225186912,race_007_barcelona,7
58,LMGT3,GT3 Evo,Mercedes-AMG,Racing Factory,120,2.2,92.0,0.9984040491278509,1.0092744408975372,race_007_barcelona,7
71,LMGT3,Vantage GT3,Aston Martin,Competition Team,120,2.2,92.0,0.9934685542971633,0.995442782082829,race_007_barcelona,7
67,LMGT3,M4 GT3,BMW,Competition Team,120,2.2,92.0,0.987485110913221,0.990883521327671,race_007_barcelona,7
68,LMGT3,Z NISMO GT3,Nissan,Motorsport Sport,120,2.2,92.0,0.9852840815978366,0.9537110314984838,race_007_barcelona,7
61,LMGT3,R8 LMS GT3 EVO II,Audi,Motorsport Works,120,2.2,92.0,0.9832795132300445,0.9713439951080342,race_007_barcelona,7
7,LMGT3,Z NISMO GT3,Nissan,Competition Team,120,2.2,92.0,1.0018091705485899,1.0155066348373474,race_007_barcelona,7
86,LMGT3,Vantage GT3,Aston Martin,Competition Factory,120,2.2,92.0,1.0035515166324853,1.007498358715101,race_007_barcelona,7
94,LMGT3,720S GT3 Evo,McLaren,Racing Team,120,2.2,92.0,0.9933874127074278,0.9880572438696941,race_007_barcelona,7
59,LMGT3,M4 GT3,BMW,Competition Works,120,2.2,92.0,0.9960656276770914,1.0179324832138843,race_007_barcelona,7
92,LMGT3,RC F GT3,Lexus,Competition Works,120,2.2,92.0,0.9858470568233422,1.0288784218298135,race_007_barcelona,7
99,LMGT3,296 GT3,Ferrari,Racing Sport,120,2.2,92.0,0.9814970822249738,1.0113630387486416,race_007_barcelona,7
33,LMP2,R8 LMS GT3 EVO II,Audi,Competition Team,120,2.09,86.47999999999999,0.9860827130176094,1.027187705014861,race_007_barcelona,7
49,LMP2,Z NISMO GT3,Nissan,Performance Works,120,2.09,86.47999999999999,0.9905247615969297,1.0271969229798148,race_007_barcelona,7
39,LMP2,R8 LMS GT3 EVO II,Audi,Competition Racing,120,2.09,86.47999999999999,0.9914980939373652,1.01516793740025,race_007_barcelona,7
26,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Performance Factory,120,2.09,86.47999999999999,1.0180235535441235,1.04184743424663,race_007_barcelona,7
46,LMP2,M4 GT3,BMW,Endurance Racing,120,2.09,86.47999999999999,0.9865913352091733,0.9837793710546029,race_007_barcelona,7
24,LMP2,M4 GT3,BMW,Motorsport Sport,120,2.09,86.47999999999999,0.9836026786350555,1.0192838332124894,race_007_barcelona,7
45,LMP2,Z NISMO GT3,Nissan,Performance Factory,120,2.09,86.47999999999999,1.0071965876775173,1.040916566975532,race_007_barcelona,7
37,LMP2,RC F GT3,Lexus,Performance Factory,120,2.09,86.47999999999999,0.992243038665504,0.9682107505824027,race_007_barcelona,7
168,Hypercar,R8 LMS GT3 EVO II,Audi,Racing Works,120,1.87,80.96,0.9813911123744181,0.9870199050694669,race_007_barcelona,7
5,Hypercar,RC F GT3,Lexus,Racing Team,120,1.87,80.96,1.0185138952166013,1.007924534015034,race_007_barcelona,7
1,Hypercar,911 GT3 R (992),Porsche,Racing Sport,120,1.87,80.96,1.0155824139837608,1.0017699828339,race_007_barcelona,7
2,Hypercar,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Works,120,1.87,80.96,1.0091240368556977,0.9882788860417118,race_007_barcelona,7
8,Hypercar,RC F GT3,Lexus,Racing Works,120,1.87,80.96,1.019670214018718,0.9892635731800419,race_007_barcelona,7
124,Hypercar,Z NISMO GT3,Nissan,Motorsport Racing,120,1.87,80.96,0.9857066178076516,1.0407020420590403,race_007_barcelona,7
