car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
70,1,91.012,29.959,32.182,29.418,1,1,1,117.8,96.4,Green,dry,18.4,91.012,LMGT3,race_007_barcelona,7
70,2,90.973,30.069,31.968,28.747,1,2,1,115.6,92.7,Green,dry,18.4,181.985,LMGT3,race_007_barcelona,7
70,3,90.884,30.418,31.454,29.091,1,3,1,113.5,89.1,Green,dry,18.4,272.869,LMGT3,race_007_barcelona,7
70,4,90.57,30.347,31.793,29.122,1,4,1,111.3,85.5,Green,dry,18.4,363.439,LMGT3,race_007_barcelona,7
70,5,90.335,30.27,31.668,28.483,1,5,1,109.1,81.8,Green,dry,18.3,453.773,LMGT3,race_007_barcelona,7
70,6,91.207,30.313,32.221,29.528,1,6,1,106.9,78.2,Green,dry,18.3,544.98,LMGT3,race_007_barcelona,7
70,7,90.022,29.929,31.822,28.627,1,7,1,104.8,74.5,Green,dry,18.3,635.002,LMGT3,race_007_barcelona,7
70,8,91.812,30.161,31.847,28.925,1,8,1,102.5,70.9,Green,dry,17.9,726.814,LMGT3,race_007_barcelona,7
70,9,90.977,29.901,31.831,28.707,1,9,1,100.4,67.3,Green,dry,17.9,817.79,LMGT3,race_007_barcelona,7
70,10,91.612,29.813,32.332,29.266,1,10,1,98.2,63.6,Green,dry,17.9,909.402,LMGT3,race_007_barcelona,7
70,11,91.031,30.268,32.223,28.839,1,11,1,96.0,60.0,Green,dry,17.7,1000.433,LMGT3,race_007_barcelona,7
70,12,90.768,29.784,31.398,28.656,1,12,1,93.7,56.4,Green,dry,17.7,1091.201,LMGT3,race_007_barcelona,7
70,13,90.861,30.311,32.156,28.718,1,13,1,91.6,52.7,Green,dry,17.7,1182.063,LMGT3,race_007_barcelona,7
70,14,91.098,29.997,31.534,28.983,1,14,1,89.3,49.1,Green,dry,17.7,1273.161,LMGT3,race_007_barcelona,7
70,15,92.939,30.212,32.562,29.723,1,15,1,87.2,45.4,Green,dry,17.6,1366.1,LMGT3,race_007_barcelona,7
70,16,92.643,30.104,32.41,29.642,1,16,1,84.9,41.8,Green,dry,17.6,1458.743,LMGT3,race_007_barcelona,7
70,17,93.586,30.458,32.715,29.839,1,17,1,82.7,38.2,Green,dry,17.6,1552.329,LMGT3,race_007_barcelona,7
70,18,92.709,30.654,32.868,29.464,1,18,1,80.5,34.5,Green,dry,17.4,1645.038,LMGT3,race_007_barcelona,7
70,19,93.872,30.967,32.406,30.333,1,19,1,78.4,30.9,Green,dry,17.4,1738.909,LMGT3,race_007_barcelona,7
70,20,93.077,31.149,32.235,29.709,1,20,1,76.1,27.3,Green,dry,17.4,1831.986,LMGT3,race_007_barcelona,7
70,21,95.216,31.111,33.406,30.527,1,21,1,73.8,23.6,Green,dry,17.2,1927.202,LMGT3,race_007_barcelona,7
70,22,90.49,29.954,31.726,29.085,2,1,1,117.7,96.4,Green,dry,17.2,2069.767,LMGT3,race_007_barcelona,7
70,23,90.592,30.109,31.979,28.826,2,2,1,115.5,92.7,Green,dry,17.2,2160.359,LMGT3,race_007_barcelona,7
70,24,90.441,30.12,31.181,28.905,2,3,1,113.3,89.1,Green,dry,17.5,2250.8,LMGT3,race_007_barcelona,7
70,25,90.381,29.842,31.906,28.737,2,4,1,111.1,85.5,Green,dry,17.5,2341.181,LMGT3,race_007_barcelona,7
70,26,89.929,29.255,31.454,29.277,2,5,1,108.8,81.8,Green,dry,17.5,2431.11,LMGT3,race_007_barcelona,7
70,27,90.909,30.183,31.792,29.071,2,6,1,106.6,78.2,Green,dry,18.0,2522.018,LMGT3,race_007_barcelona,7
70,28,91.618,30.682,31.861,29.531,2,7,1,104.5,74.5,Green,dry,18.0,2613.636,LMGT3,race_007_barcelona,7
70,29,91.744,29.915,32.581,29.179,2,8,1,102.3,70.9,Green,dry,18.0,2705.38,LMGT3,race_007_barcelona,7
70,30,91.106,29.827,32.074,29.463,2,9,1,100.0,67.3,Green,dry,17.9,2796.486,LMGT3,race_007_barcelona,7
70,31,91.271,30.344,31.514,28.888,2,10,1,97.8,63.6,Green,dry,17.9,2887.757,LMGT3,race_007_barcelona,7
70,32,91.348,30.495,32.418,28.759,2,11,1,95.7,60.0,Green,dry,17.9,2979.105,LMGT3,race_007_barcelona,7
70,33,90.9,30.309,31.727,28.766,2,12,1,93.4,56.4,Green,dry,17.9,3070.005,LMGT3,race_007_barcelona,7
70,34,91.708,30.343,32.007,29.326,2,13,1,91.2,52.7,Green,dry,17.5,3161.713,LMGT3,race_007_barcelona,7
70,35,90.979,30.343,31.69,28.669,2,14,1,89.0,49.1,Green,dry,17.5,3252.692,LMGT3,race_007_barcelona,7
70,36,92.907,30.271,32.382,29.438,2,15,1,86.8,45.4,Green,dry,17.5,3345.599,LMGT3,race_007_barcelona,7
70,37,92.869,30.191,32.497,30.063,2,16,1,84.6,41.8,Green,dry,17.3,3438.468,LMGT3,race_007_barcelona,7
70,38,93.655,30.596,32.461,29.557,2,17,1,82.4,38.2,Green,dry,17.3,3532.123,LMGT3,race_007_barcelona,7
70,39,93.827,31.23,32.861,30.469,2,18,1,80.3,34.5,Green,dry,17.3,3625.949,LMGT3,race_007_barcelona,7
70,40,94.115,31.461,32.774,30.31,2,19,1,78.0,30.9,Green,dry,17.7,3720.064,LMGT3,race_007_barcelona,7
70,41,93.26,30.595,32.64,30.291,2,20,1,75.9,27.3,Green,dry,17.7,3813.324,LMGT3,race_007_barcelona,7
70,42,94.983,31.61,33.511,30.09,2,21,1,73.7,23.6,Green,dry,17.7,3908.307,LMGT3,race_007_barcelona,7
70,43,91.949,30.199,32.266,29.085,3,1,1,117.8,96.4,Green,dry,17.3,4053.137,LMGT3,race_007_barcelona,7
70,44,91.139,29.855,32.318,29.561,3,2,1,115.6,92.7,Green,dry,17.3,4144.276,LMGT3,race_007_barcelona,7
70,45,91.321,30.048,32.147,29.501,3,3,1,113.3,89.1,Green,dry,17.3,4235.598,LMGT3,race_007_barcelona,7
70,46,90.0,29.471,31.074,28.607,3,4,1,111.1,85.5,Green,dry,17.8,4325.598,LMGT3,race_007_barcelona,7
70,47,136.664,45.375,47.735,43.995,3,5,1,108.8,81.8,SC,dry,17.8,4462.262,LMGT3,race_007_barcelona,7
70,48,137.575,45.382,47.811,44.369,3,6,1,106.7,78.2,SC,dry,17.8,4599.837,LMGT3,race_007_barcelona,7
70,49,135.33,44.247,47.43,43.715,3,7,1,104.5,74.5,SC,dry,18.2,4735.166,LMGT3,race_007_barcelona,7
70,50,135.472,44.999,47.052,43.518,3,8,1,102.2,70.9,SC,dry,18.2,4870.639,LMGT3,race_007_barcelona,7
70,51,90.263,29.42,32.042,28.859,3,9,1,100.0,67.3,Green,dry,18.1,4960.901,LMGT3,race_007_barcelona,7
70,52,91.454,30.577,31.67,29.165,3,10,1,97.9,63.6,Green,dry,18.1,5052.355,LMGT3,race_007_barcelona,7
70,53,90.864,29.597,31.543,28.798,3,11,1,95.7,60.0,Green,dry,18.1,5143.219,LMGT3,race_007_barcelona,7
70,54,90.671,29.936,31.752,29.147,3,12,1,93.5,56.4,Green,dry,18.0,5233.89,LMGT3,race_007_barcelona,7
70,55,92.197,30.65,32.597,29.508,3,13,1,91.4,52.7,Green,dry,18.0,5326.087,LMGT3,race_007_barcelona,7
70,56,91.164,30.534,31.593,29.274,3,14,1,89.2,49.1,Green,dry,18.0,5417.251,LMGT3,race_007_barcelona,7
70,57,93.197,30.356,32.82,29.625,3,15,1,87.0,45.4,Green,dry,17.8,5510.447,LMGT3,race_007_barcelona,7
70,58,93.699,31.341,32.458,30.481,3,16,1,84.7,41.8,Green,dry,17.8,5604.146,LMGT3,race_007_barcelona,7
70,59,93.896,30.979,32.64,29.957,3,17,1,82.5,38.2,Green,dry,17.8,5698.042,LMGT3,race_007_barcelona,7
70,60,94.008,30.706,32.573,30.144,3,18,1,80.4,34.5,Green,dry,17.8,5792.05,LMGT3,race_007_barcelona,7
70,61,94.181,30.908,32.735,30.498,3,19,1,78.1,30.9,Green,dry,18.2,5886.231,LMGT3,race_007_barcelona,7
70,62,94.271,31.6,32.863,30.285,3,20,1,76.0,27.3,Green,dry,18.2,5980.502,LMGT3,race_007_barcelona,7
70,63,94.233,31.372,32.948,29.692,3,21,1,73.8,23.6,Green,dry,18.2,6074.736,LMGT3,race_007_barcelona,7
70,64,91.186,30.566,32.242,29.273,4,1,1,117.8,96.4,Green,dry,18.6,6220.099,LMGT3,race_007_barcelona,7
