car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
72,LMGT3,296 GT3,Ferrari,Performance Team,120,2.6,108.0,0.9920385782342366,0.9747061831961814,race_008_monza,8
98,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Factory,120,2.6,108.0,1.017053405402367,1.0391603438277763,race_008_monza,8
93,LMGT3,911 GT3 R (992),Porsche,Racing Sport,120,2.6,108.0,1.0073310703989995,1.0066884659499673,race_008_monza,8
79,LMGT3,GT3 Evo,Mercedes-AMG,Racing Factory,120,2.6,108.0,1.0018786352097213,0.9710423835986766,race_008_monza,8
64,LMGT3,RC F GT3,Lexus,Endurance Sport,120,2.6,108.0,1.0107901787274174,1.0396230100956974,race_008_monza,8
73,LMGT3,Z NISMO GT3,Nissan,Performance Team,120,2.6,108.0,1.0088660182626388,0.9998780349908266,race_008_monza,8
96,LMGT3,M4 GT3,BMW,Motorsport Team,120,2.6,108.0,0.9976885113157677,1.0302430527804425,race_008_monza,8
97,LMGT3,R8 LMS GT3 EVO II,Audi,Competition Sport,120,2.6,108.0,1.0137932522295967,0.9729138204412727,race_008_monza,8
91,LMGT3,Vantage GT3,Aston Martin,Performance Factory,120,2.6,108.0,1.01848670165617,0.9558918335545673,race_008_monza,8
53,LMGT3,Z NISMO GT3,Nissan,Performance Factory,120,2.6,108.0,0.9915935154600317,0.9812164142110967,race_008_monza,8
63,LMGT3,Z NISMO GT3,Nissan,Racing Factory,120,2.6,108.0,1.0080762507008398,1.0207608861184854,race_008_monza,8
84,LMGT3,Vantage GT3,Aston Martin,Endurance Factory,120,2.6,108.0,1.0177211506646289,1.0106383166841477,race_008_monza,8
58,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Performance Racing,120,2.6,108.0,0.9942090915930619,0.9920799234864163,race_008_monza,8
66,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Works,120,2.6,108.0,1.0162599829259082,0.9751929002499942,race_008_monza,8
81,LMGT3,Z NISMO GT3,Nissan,Performance Works,120,2.6,108.0,0.9921168175477372,0.957604762834331,race_008_monza,8
99,LMGT3,Vantage GT3,Aston Martin,Endurance Team,120,2.6,108.0,0.9900597215309073,1.0410635590467916,race_008_monza,8
59,LMGT3,RC F GT3,Lexus,Racing Racing,120,2.6,108.0,1.0137457332490272,1.0137194438280126,race_008_monza,8
47,LMP2,296 GT3,Ferrari,Competition Team,120,2.4699999999999998,101.52,1.0196042856468,1.0439919535844306,race_008_monza,8
42,LMP2,911 GT3 R (992),Porsche,Competition Team,120,2.4699999999999998,101.52,1.014197513663788,1.0421145506258518,race_008_monza,8
19,LMP2,R8 LMS GT3 EVO II,Audi,Performance Racing,120,2.4699999999999998,101.52,1.0066302686813562,0.9893055385005046,race_008_monza,8
29,LMP2,R8 LMS GT3 EVO II,Audi,Performance Racing,120,2.4699999999999998,101.52,1.003310964681238,0.9877411908628847,race_008_monza,8
34,LMP2,Vantage GT3,Aston Martin,Competition Team,120,2.4699999999999998,101.52,0.9992140715634096,0.9861437835773573,race_008_monza,8
105,LMP2,296 GT3,Ferrari,Performance Works,120,2.4699999999999998,101.52,0.9866642985992552,1.039494131509101,race_008_monza,8
41,LMP2,296 GT3,Ferrari,Endurance Team,120,2.4699999999999998,101.52,1.0017226293648132,1.0323301240161586,race_008_monza,8
27,LMP2,M4 GT3,BMW,Performance Sport,120,2.4699999999999998,101.52,1.0027134334068062,0.9506671474159268,race_008_monza,8
51,Hypercar,RC F GT3,Lexus,Racing Racing,120,2.21,95.04,1.0051128553002144,1.0268614926886963,race_008_monza,8
6,Hypercar,HuracÃ¡n GT3 EVO2,Lamborghini,Racing Factory,120,2.21,95.04,0.9927947920204943,0.9527459156688934,race_008_monza,8
3,Hypercar,296 GT3,Ferrari,Endurance Sport,120,2.21,95.04,0.9836313882200148,0.9755813305969208,race_008_monza,8
7,Hypercar,Z NISMO GT3,Nissan,Racing Sport,120,2.21,95.04,1.0046870690715703,1.0331226734645766,race_008_monza,8
174,Hypercar,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Racing,120,2.21,95.04,0.9804067026487444,1.0185105558647611,race_008_monza,8
83,Hypercar,720S GT3 Evo,McLaren,Racing Factory,120,2.21,95.04,0.9854828629862661,1.0428648914412075,race_008_monza,8
