car_number,class,car_model,manufacturer,team,fuel_capacity,fuel_consumption,base_lap_time,driver_skill,tire_degradation_factor,race_id,race_index
67,LMGT3,720S GT3 Evo,McLaren,Competition Racing,120,2.0,85.0,0.9997840658215209,0.9728083104449335,race_009_misano,9
99,LMGT3,720S GT3 Evo,McLaren,Competition Team,120,2.0,85.0,0.9902189569502885,0.9896329909722776,race_009_misano,9
70,LMGT3,RC F GT3,Lexus,Motorsport Factory,120,2.0,85.0,0.995092603907645,1.049657423015465,race_009_misano,9
59,LMGT3,296 GT3,Ferrari,Competition Team,120,2.0,85.0,0.9963278880133278,1.0271893994839714,race_009_misano,9
57,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Motorsport Team,120,2.0,85.0,1.0104214675203553,0.9810009348685332,race_009_misano,9
88,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Works,120,2.0,85.0,0.9938616481825079,0.9851764817496562,race_009_misano,9
54,LMGT3,296 GT3,Ferrari,Endurance Sport,120,2.0,85.0,0.9858186742598462,1.047266468471745,race_009_misano,9
50,LMGT3,R8 LMS GT3 EVO II,Audi,Motorsport Sport,120,2.0,85.0,1.0163671375196996,1.0059957103722126,race_009_misano,9
77,LMGT3,Vantage GT3,Aston Martin,Racing Racing,120,2.0,85.0,0.9925436298598682,1.038820003752389,race_009_misano,9
178,LMGT3,720S GT3 Evo,McLaren,Endurance Works,120,2.0,85.0,1.0069829226328906,0.9891087447638561,race_009_misano,9
160,LMGT3,GT3 Evo,Mercedes-AMG,Motorsport Factory,120,2.0,85.0,1.0002873649565192,1.0024103502664115,race_009_misano,9
106,LMGT3,Z NISMO GT3,Nissan,Endurance Team,120,2.0,85.0,1.017120037112662,1.0071373069038927,race_009_misano,9
81,LMGT3,RC F GT3,Lexus,Performance Factory,120,2.0,85.0,1.006733502751067,0.9552258691106509,race_009_misano,9
93,LMGT3,RC F GT3,Lexus,Motorsport Works,120,2.0,85.0,0.9930822921625205,0.9556401639171493,race_009_misano,9
83,LMGT3,Z NISMO GT3,Nissan,Competition Team,120,2.0,85.0,0.9871931077625515,1.0425933172501043,race_009_misano,9
98,LMGT3,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Racing,120,2.0,85.0,1.0175206089176956,1.0214092707434095,race_009_misano,9
72,LMGT3,911 GT3 R (992),Porsche,Racing Factory,120,2.0,85.0,1.0093075043562607,0.9961747676264432,race_009_misano,9
80,LMGT3,R8 LMS GT3 EVO II,Audi,Endurance Racing,120,2.0,85.0,1.017253170704238,0.9906420243340808,race_009_misano,9
96,LMGT3,GT3 Evo,Mercedes-AMG,Endurance Team,120,2.0,85.0,1.0073282308210938,1.0149915868089063,race_009_misano,9
66,LMGT3,GT3 Evo,Mercedes-AMG,Performance Racing,120,2.0,85.0,1.0039506071465112,0.9722039392079675,race_009_misano,9
21,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Team,120,1.9,79.89999999999999,1.007294286765455,1.0378056302602348,race_009_misano,9
40,LMP2,296 GT3,Ferrari,Motorsport Sport,120,1.9,79.89999999999999,1.0118686905312428,0.9932002247798081,race_009_misano,9
33,LMP2,RC F GT3,Lexus,Performance Factory,120,1.9,79.89999999999999,1.0167151287663356,1.0281833677726757,race_009_misano,9
44,LMP2,R8 LMS GT3 EVO II,Audi,Performance Works,120,1.9,79.89999999999999,1.009030011133971,0.9624854693489593,race_009_misano,9
32,LMP2,296 GT3,Ferrari,Racing Sport,120,1.9,79.89999999999999,1.0166523379741164,0.9887710993730296,race_009_misano,9
5,LMP2,911 GT3 R (992),Porsche,Racing Works,120,1.9,79.89999999999999,0.9917971818210811,1.0116731414722515,race_009_misano,9
20,LMP2,Z NISMO GT3,Nissan,Competition Sport,120,1.9,79.89999999999999,0.9987138491592513,0.9755338914344563,race_009_misano,9
37,LMP2,HuracÃ¡n GT3 EVO2,Lamborghini,Endurance Works,120,1.9,79.89999999999999,1.0135598355481672,0.9678619202359678,race_009_misano,9
29,LMP2,296 GT3,Ferrari,Motorsport Works,120,1.9,79.89999999999999,0.9890845668278756,1.0159876446034306,race_009_misano,9
2,Hypercar,M4 GT3,BMW,Racing Team,120,1.7,74.8,0.9991646498017182,0.9573447342337702,race_009_misano,9
3,Hypercar,GT3 Evo,Mercedes-AMG,Racing Racing,120,1.7,74.8,0.9855584028507846,0.9612307183638451,race_009_misano,9
176,Hypercar,911 GT3 R (992),Porsche,Competition Team,120,1.7,74.8,0.9991113986167351,1.0040296229270422,race_009_misano,9
14,Hypercar,GT3 Evo,Mercedes-AMG,Motorsport Factory,120,1.7,74.8,1.0183228419641426,1.0083792311423463,race_009_misano,9
151,Hypercar,Vantage GT3,Aston Martin,Racing Racing,120,1.7,74.8,1.0010665636433964,1.0422262688844655,race_009_misano,9
7,Hypercar,720S GT3 Evo,McLaren,Performance Sport,120,1.7,74.8,1.01677028065791,0.9752008864758192,race_009_misano,9
58,Hypercar,RC F GT3,Lexus,Racing Factory,120,1.7,74.8,1.0073053044286462,1.0464276118601736,race_009_misano,9
