car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
67,1,86.578,28.642,30.676,27.478,1,1,1,118.1,97.6,Green,dry,21.4,86.578,LMGT3,race_009_misano,9
67,2,85.785,28.57,30.106,27.255,1,2,1,116.0,95.1,Green,dry,21.4,172.363,LMGT3,race_009_misano,9
67,3,84.5,27.571,30.02,26.736,1,3,1,114.0,92.7,Green,dry,21.4,256.863,LMGT3,race_009_misano,9
67,4,85.727,28.689,30.245,27.055,1,4,1,111.9,90.3,Green,dry,21.4,342.59,LMGT3,race_009_misano,9
67,5,85.52,28.328,29.546,27.567,1,5,1,109.9,87.8,Green,dry,21.3,428.11,LMGT3,race_009_misano,9
67,6,85.433,27.875,29.525,27.218,1,6,1,107.9,85.4,Green,dry,21.3,513.543,LMGT3,race_009_misano,9
67,7,85.843,28.574,29.708,27.543,1,7,1,106.0,83.0,Green,dry,21.3,599.386,LMGT3,race_009_misano,9
67,8,85.083,28.279,29.709,27.102,1,8,1,104.1,80.5,Green,dry,21.3,684.469,LMGT3,race_009_misano,9
67,9,85.48,28.113,30.36,27.529,1,9,1,102.0,78.1,Green,dry,21.7,769.949,LMGT3,race_009_misano,9
67,10,84.81,27.884,30.104,27.12,1,10,1,100.1,75.7,Green,dry,21.7,854.759,LMGT3,race_009_misano,9
67,11,85.617,28.57,30.002,27.23,1,11,1,98.0,73.2,Green,dry,21.7,940.376,LMGT3,race_009_misano,9
67,12,86.168,28.518,30.309,27.503,1,12,1,96.0,70.8,Green,dry,22.1,1026.543,LMGT3,race_009_misano,9
67,13,86.251,28.762,30.058,27.66,1,13,1,93.9,68.4,Green,dry,22.1,1112.795,LMGT3,race_009_misano,9
67,14,86.532,28.994,30.506,27.779,1,14,1,92.0,66.0,Green,dry,22.1,1199.327,LMGT3,race_009_misano,9
67,15,86.284,28.096,30.589,27.722,1,15,1,89.9,63.5,Green,dry,22.1,1285.61,LMGT3,race_009_misano,9
67,16,86.477,28.585,30.436,28.022,1,16,1,88.0,61.1,Green,dry,22.3,1372.087,LMGT3,race_009_misano,9
67,17,85.544,28.291,29.795,26.958,1,17,1,85.9,58.7,Green,dry,22.3,1457.631,LMGT3,race_009_misano,9
67,18,85.891,28.728,30.539,27.03,1,18,1,83.9,56.2,Green,dry,22.3,1543.522,LMGT3,race_009_misano,9
67,19,85.751,28.45,29.784,27.299,1,19,1,81.9,53.8,Green,dry,21.9,1629.273,LMGT3,race_009_misano,9
67,20,85.362,28.539,29.42,27.567,1,20,1,79.9,51.4,Green,dry,21.9,1714.635,LMGT3,race_009_misano,9
67,21,86.592,28.082,30.292,27.362,1,21,1,77.9,48.9,Green,dry,21.9,1801.227,LMGT3,race_009_misano,9
67,22,86.667,28.224,30.12,27.617,1,22,1,75.9,46.5,Green,dry,22.3,1887.894,LMGT3,race_009_misano,9
67,23,88.15,29.027,31.304,28.469,1,23,1,73.9,44.1,Green,dry,22.3,1976.043,LMGT3,race_009_misano,9
67,24,87.322,29.235,30.922,27.448,1,24,1,72.0,41.6,Green,dry,22.3,2063.365,LMGT3,race_009_misano,9
67,25,87.713,29.137,30.427,27.673,1,25,1,69.9,39.2,Green,dry,22.3,2151.078,LMGT3,race_009_misano,9
67,26,88.47,29.158,31.342,28.014,1,26,1,68.0,36.8,Green,dry,22.7,2239.548,LMGT3,race_009_misano,9
67,27,88.425,28.815,31.386,28.17,1,27,1,65.9,34.3,Green,dry,22.7,2327.973,LMGT3,race_009_misano,9
67,28,87.522,28.792,30.969,27.682,1,28,1,63.9,31.9,Green,dry,22.7,2415.495,LMGT3,race_009_misano,9
67,29,89.088,29.256,31.068,28.867,1,29,1,62.0,29.5,Green,dry,22.5,2504.584,LMGT3,race_009_misano,9
67,30,88.077,29.548,31.234,27.824,1,30,1,60.0,27.0,Green,dry,22.5,2592.66,LMGT3,race_009_misano,9
67,31,89.42,29.501,31.602,28.762,1,31,1,58.0,24.6,Green,dry,22.5,2682.08,LMGT3,race_009_misano,9
67,32,119.463,39.814,42.039,38.131,2,1,1,117.9,97.6,SC,dry,22.6,2860.656,LMGT3,race_009_misano,9
67,33,121.515,39.977,42.782,39.173,2,2,1,116.0,95.1,SC,dry,22.6,2982.171,LMGT3,race_009_misano,9
67,34,118.341,39.19,41.211,38.228,2,3,1,114.0,92.7,SC,dry,22.6,3100.512,LMGT3,race_009_misano,9
67,35,119.783,39.374,42.213,38.667,2,4,1,112.0,90.3,SC,dry,22.3,3220.295,LMGT3,race_009_misano,9
67,36,86.01,28.864,30.124,27.197,2,5,1,110.0,87.8,Green,dry,22.3,3306.305,LMGT3,race_009_misano,9
67,37,85.556,28.562,30.327,27.512,2,6,1,108.0,85.4,Green,dry,22.4,3391.862,LMGT3,race_009_misano,9
67,38,84.993,28.059,29.465,26.959,2,7,1,106.0,83.0,Green,dry,22.4,3476.854,LMGT3,race_009_misano,9
67,39,86.252,28.812,30.659,28.079,2,8,1,104.1,80.5,Green,dry,22.4,3563.106,LMGT3,race_009_misano,9
67,40,85.926,27.888,29.929,27.025,2,9,1,102.1,78.1,Green,dry,22.4,3649.032,LMGT3,race_009_misano,9
67,41,85.344,27.711,29.465,27.758,2,10,1,100.1,75.7,Green,dry,22.1,3734.376,LMGT3,race_009_misano,9
67,42,84.8,27.737,29.511,27.576,2,11,1,98.0,73.2,Green,dry,22.1,3819.176,LMGT3,race_009_misano,9
67,43,85.013,28.341,30.093,27.683,2,12,1,95.9,70.8,Green,dry,22.1,3904.189,LMGT3,race_009_misano,9
67,44,85.221,28.553,29.4,27.111,2,13,1,93.8,68.4,Green,dry,22.6,3989.41,LMGT3,race_009_misano,9
67,45,85.707,28.449,30.459,27.458,2,14,1,91.8,66.0,Green,dry,22.6,4075.116,LMGT3,race_009_misano,9
67,46,86.62,28.933,30.475,27.481,2,15,1,89.8,63.5,Green,dry,22.6,4161.737,LMGT3,race_009_misano,9
67,47,85.199,28.614,30.074,26.776,2,16,1,87.8,61.1,Green,dry,22.6,4246.936,LMGT3,race_009_misano,9
67,48,86.402,28.286,30.343,27.475,2,17,1,85.7,58.7,Green,dry,22.6,4333.337,LMGT3,race_009_misano,9
67,49,85.96,28.842,30.222,27.193,2,18,1,83.6,56.2,Green,dry,22.6,4419.297,LMGT3,race_009_misano,9
67,50,85.538,28.342,29.881,27.621,2,19,1,81.6,53.8,Green,dry,22.6,4504.835,LMGT3,race_009_misano,9
67,51,86.25,28.809,30.356,27.612,2,20,1,79.5,51.4,Green,dry,22.7,4591.085,LMGT3,race_009_misano,9
67,52,85.858,28.818,30.04,27.919,2,21,1,77.5,48.9,Green,dry,22.7,4676.943,LMGT3,race_009_misano,9
67,53,86.856,29.041,30.329,27.319,2,22,1,75.4,46.5,Green,dry,22.7,4763.799,LMGT3,race_009_misano,9
67,54,87.465,28.7,31.061,28.014,2,23,1,73.4,44.1,Green,dry,22.7,4851.264,LMGT3,race_009_misano,9
67,55,87.12,28.633,30.303,27.587,2,24,1,71.4,41.6,Green,dry,22.6,4938.384,LMGT3,race_009_misano,9
67,56,87.697,28.797,30.57,27.876,2,25,1,69.3,39.2,Green,dry,22.6,5026.081,LMGT3,race_009_misano,9
