car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
67,31,59.114,62.0,True,False,1,2682.08,race_009_misano,9
67,62,73.055,62.7,True,True,2,5557.53,race_009_misano,9
67,94,58.893,64.0,True,False,3,8427.323,race_009_misano,9
67,129,61.855,69.9,True,False,4,11812.695,race_009_misano,9
67,164,78.799,69.8,True,True,5,15202.725,race_009_misano,9
67,199,62.148,70.2,True,False,6,18605.346,race_009_misano,9
67,234,63.96,70.3,True,False,7,22001.33,race_009_misano,9
67,269,64.211,70.0,True,False,8,25400.546,race_009_misano,9
99,31,60.455,62.0,True,False,1,2651.521,race_009_misano,9
99,62,59.775,61.8,True,False,2,5510.735,race_009_misano,9
99,93,57.969,62.1,True,False,3,8237.396,race_009_misano,9
99,127,60.399,68.0,True,False,4,11497.115,race_009_misano,9
99,161,60.969,68.0,True,False,5,14762.452,race_009_misano,9
99,195,60.576,67.9,True,False,6,18022.974,race_009_misano,9
99,229,61.084,67.8,True,True,7,21284.134,race_009_misano,9
99,263,61.863,68.3,True,False,8,24550.958,race_009_misano,9
99,297,78.078,68.0,True,True,9,27817.525,race_009_misano,9
70,29,55.298,58.1,True,True,1,2494.409,race_009_misano,9
70,58,72.167,58.0,True,False,2,5181.767,race_009_misano,9
70,87,72.343,57.7,True,False,3,7745.639,race_009_misano,9
70,119,76.259,63.8,True,True,4,10815.316,race_009_misano,9
70,151,60.69,64.1,True,True,5,13914.257,race_009_misano,9
70,183,73.915,63.7,True,False,6,17002.393,race_009_misano,9
70,215,74.578,64.2,True,True,7,20102.386,race_009_misano,9
70,247,59.178,63.9,True,False,8,23204.95,race_009_misano,9
70,279,60.866,64.3,True,True,9,26289.735,race_009_misano,9
59,30,59.586,60.1,True,False,1,2586.837,race_009_misano,9
59,60,56.53,60.0,True,True,2,5368.592,race_009_misano,9
59,90,59.29,60.1,True,False,3,8015.557,race_009_misano,9
59,123,60.729,66.6,True,False,4,11196.522,race_009_misano,9
59,156,59.931,66.5,True,False,5,14389.92,race_009_misano,9
59,189,60.045,66.3,True,True,6,17577.696,race_009_misano,9
59,222,74.082,65.9,True,False,7,20761.289,race_009_misano,9
59,255,74.136,66.2,True,True,8,23966.203,race_009_misano,9
59,288,76.995,65.6,True,False,9,27172.925,race_009_misano,9
57,31,75.884,62.3,True,True,1,2710.123,race_009_misano,9
57,62,57.287,62.3,True,False,2,5632.91,race_009_misano,9
57,93,59.349,61.6,True,False,3,8422.821,race_009_misano,9
57,127,63.082,68.1,True,False,4,11739.958,race_009_misano,9
57,161,60.679,68.3,True,False,5,15068.548,race_009_misano,9
57,195,60.284,68.2,True,False,6,18393.252,race_009_misano,9
57,229,62.966,68.0,True,False,7,21717.006,race_009_misano,9
57,263,60.27,68.3,True,True,8,25048.364,race_009_misano,9
57,297,76.279,67.9,True,False,9,28377.988,race_009_misano,9
88,31,74.435,61.6,True,True,1,2668.409,race_009_misano,9
88,62,59.854,61.9,True,False,2,5548.031,race_009_misano,9
88,93,57.796,61.5,True,True,3,8281.772,race_009_misano,9
88,127,61.076,67.9,True,True,4,11557.859,race_009_misano,9
88,161,63.913,67.9,True,False,5,14836.188,race_009_misano,9
88,195,62.12,68.0,True,False,6,18115.985,race_009_misano,9
88,229,60.751,67.8,True,True,7,21389.834,race_009_misano,9
88,263,62.933,68.3,True,False,8,24667.797,race_009_misano,9
88,297,61.488,68.4,True,False,9,27945.78,race_009_misano,9
54,29,58.253,58.3,True,False,1,2472.442,race_009_misano,9
54,58,55.869,58.1,True,False,2,5142.25,race_009_misano,9
54,87,57.602,57.7,True,False,3,7668.614,race_009_misano,9
54,119,61.427,64.1,True,True,4,10693.859,race_009_misano,9
54,151,61.794,64.1,True,False,5,13759.118,race_009_misano,9
54,183,72.899,63.4,True,True,6,16822.325,race_009_misano,9
54,215,58.697,63.7,True,True,7,19900.02,race_009_misano,9
54,247,75.231,64.2,True,False,8,22958.817,race_009_misano,9
54,279,61.462,64.1,True,False,9,26034.559,race_009_misano,9
50,30,73.243,60.3,True,False,1,2633.399,race_009_misano,9
50,60,71.771,59.5,True,True,2,5487.132,race_009_misano,9
50,90,59.22,60.0,True,False,3,8200.31,race_009_misano,9
50,124,78.892,68.3,True,True,4,11549.776,race_009_misano,9
50,158,60.849,68.2,True,False,5,14919.87,race_009_misano,9
50,192,75.63,67.6,True,False,6,18267.108,race_009_misano,9
50,226,63.322,68.2,True,True,7,21622.27,race_009_misano,9
50,260,77.143,68.0,True,False,8,24964.749,race_009_misano,9
50,294,62.631,68.0,True,False,9,28329.371,race_009_misano,9
77,29,55.471,58.2,True,False,1,2494.067,race_009_misano,9
77,58,56.952,58.0,True,True,2,5175.273,race_009_misano,9
77,87,58.091,57.7,True,False,3,7716.232,race_009_misano,9
77,119,74.859,63.6,True,False,4,10759.996,race_009_misano,9
77,152,61.549,66.4,True,False,5,13949.9,race_009_misano,9
77,185,59.454,66.5,True,False,6,17135.824,race_009_misano,9
77,218,61.279,66.1,True,False,7,20314.066,race_009_misano,9
77,251,75.863,65.5,True,False,8,23494.201,race_009_misano,9
77,284,76.801,65.7,True,False,9,26682.149,race_009_misano,9
