car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class,race_id,race_index
82,1,115.915,37.949,40.506,37.493,1,1,1,117.1,96.7,Green,dry,25.3,115.915,LMGT3,race_010_sebring,10
82,2,117.148,38.512,41.323,37.598,1,2,1,114.5,93.3,Green,dry,25.3,233.063,LMGT3,race_010_sebring,10
82,3,117.123,38.808,41.098,37.477,1,3,1,111.7,90.0,Green,dry,25.3,350.187,LMGT3,race_010_sebring,10
82,4,116.786,38.61,41.284,37.438,1,4,1,109.0,86.6,Green,dry,25.3,466.973,LMGT3,race_010_sebring,10
82,5,115.883,37.957,40.105,37.147,1,5,1,106.2,83.3,Green,dry,25.3,582.856,LMGT3,race_010_sebring,10
82,6,116.418,38.744,40.795,37.387,1,6,1,103.4,80.0,Green,dry,25.3,699.274,LMGT3,race_010_sebring,10
82,7,116.379,38.86,40.506,37.03,1,7,1,100.6,76.6,Green,dry,24.9,815.653,LMGT3,race_010_sebring,10
82,8,174.208,57.252,60.81,55.66,1,8,1,97.8,73.3,SC,dry,24.9,989.861,LMGT3,race_010_sebring,10
82,9,193.747,64.215,67.328,61.546,1,9,1,94.9,70.3,SC,damp,24.8,1183.608,LMGT3,race_010_sebring,10
82,10,127.428,42.517,44.904,41.005,1,10,1,92.0,67.3,Green,damp,24.8,1311.036,LMGT3,race_010_sebring,10
82,11,128.552,42.599,44.534,41.459,1,11,1,89.2,64.3,Green,damp,25.1,1439.588,LMGT3,race_010_sebring,10
82,12,127.186,42.054,44.145,40.2,1,12,1,86.5,61.2,Green,damp,25.1,1566.773,LMGT3,race_010_sebring,10
82,13,127.726,41.82,44.257,40.476,1,13,1,83.6,58.2,Green,damp,25.2,1694.5,LMGT3,race_010_sebring,10
82,14,129.232,42.678,45.298,41.271,1,14,1,80.9,55.2,Green,damp,25.2,1823.731,LMGT3,race_010_sebring,10
82,15,129.367,43.001,45.382,41.652,1,15,1,78.3,52.2,Green,damp,25.4,1953.098,LMGT3,race_010_sebring,10
82,16,128.843,42.674,44.806,40.773,1,16,1,75.4,49.2,Green,damp,25.4,2081.942,LMGT3,race_010_sebring,10
82,17,129.854,43.04,45.915,41.45,1,17,1,72.6,46.2,Green,damp,25.4,2211.795,LMGT3,race_010_sebring,10
82,18,130.117,42.455,45.532,41.341,1,18,1,69.9,43.2,Green,damp,25.0,2341.912,LMGT3,race_010_sebring,10
82,19,128.996,42.506,44.868,41.403,1,19,1,67.3,40.2,Green,damp,25.0,2470.908,LMGT3,race_010_sebring,10
82,20,129.442,42.386,45.331,41.724,1,20,1,64.5,37.2,Green,damp,25.5,2600.35,LMGT3,race_010_sebring,10
82,21,130.553,43.48,45.303,41.748,1,21,1,61.7,34.2,Green,damp,25.5,2730.903,LMGT3,race_010_sebring,10
82,22,130.628,43.37,45.467,42.184,1,22,1,59.0,31.2,Green,damp,25.6,2861.531,LMGT3,race_010_sebring,10
82,23,132.293,43.789,46.441,42.062,1,23,1,56.2,28.2,Green,damp,25.6,2993.824,LMGT3,race_010_sebring,10
82,24,130.751,43.05,46.066,41.554,1,24,1,53.4,25.2,Green,damp,25.6,3124.575,LMGT3,race_010_sebring,10
82,25,132.286,43.422,46.248,42.234,1,25,1,50.6,22.2,Green,damp,25.6,3256.861,LMGT3,race_010_sebring,10
82,26,129.158,42.653,45.468,41.685,2,1,2,117.2,97.0,Green,damp,25.3,3458.654,LMGT3,race_010_sebring,10
82,27,127.7,42.176,44.731,41.16,2,2,2,114.5,94.0,Green,damp,25.3,3586.354,LMGT3,race_010_sebring,10
82,28,126.883,41.612,43.997,40.824,2,3,2,111.7,91.0,Green,damp,25.3,3713.237,LMGT3,race_010_sebring,10
82,29,126.847,41.598,44.15,40.335,2,4,2,108.8,88.0,Green,damp,25.0,3840.084,LMGT3,race_010_sebring,10
82,30,128.045,42.475,44.377,41.218,2,5,2,106.0,85.0,Green,damp,25.0,3968.129,LMGT3,race_010_sebring,10
82,31,126.92,41.407,44.886,40.301,2,6,2,103.2,82.0,Green,damp,24.6,4095.049,LMGT3,race_010_sebring,10
82,32,126.904,41.812,44.315,40.803,2,7,2,100.3,79.0,Green,damp,24.6,4221.953,LMGT3,race_010_sebring,10
82,33,127.739,42.279,44.565,41.291,2,8,2,97.5,75.9,Green,damp,24.5,4349.692,LMGT3,race_010_sebring,10
82,34,128.042,42.361,45.007,40.928,2,9,2,94.7,72.9,Green,damp,24.5,4477.734,LMGT3,race_010_sebring,10
82,35,128.465,42.39,44.554,40.985,2,10,2,91.8,69.9,Green,damp,24.5,4606.198,LMGT3,race_010_sebring,10
82,36,145.734,48.034,51.211,46.178,2,11,2,88.9,67.6,Green,wet,24.1,4751.932,LMGT3,race_010_sebring,10
82,37,144.614,47.569,50.979,46.049,2,12,2,86.1,65.3,Green,wet,24.1,4896.546,LMGT3,race_010_sebring,10
82,38,144.788,47.552,50.617,46.345,2,13,2,83.2,62.9,Green,wet,24.4,5041.334,LMGT3,race_010_sebring,10
82,39,146.142,47.792,50.973,46.422,2,14,2,80.6,60.6,Green,wet,24.4,5187.476,LMGT3,race_010_sebring,10
82,40,145.916,48.194,51.348,46.623,2,15,2,77.6,58.2,Green,wet,24.3,5333.393,LMGT3,race_010_sebring,10
82,41,144.476,48.015,50.128,45.995,2,16,2,74.8,55.9,Green,wet,24.3,5477.869,LMGT3,race_010_sebring,10
82,42,146.03,47.941,51.189,46.833,2,17,2,71.9,53.6,Green,wet,24.8,5623.899,LMGT3,race_010_sebring,10
82,43,145.478,47.879,51.336,46.647,2,18,2,69.2,51.2,Green,wet,24.8,5769.377,LMGT3,race_010_sebring,10
82,44,146.168,48.372,50.67,47.1,2,19,2,66.3,48.9,Green,wet,24.6,5915.545,LMGT3,race_010_sebring,10
82,45,147.301,49.072,51.665,47.208,2,20,2,63.5,46.5,Green,wet,24.6,6062.846,LMGT3,race_010_sebring,10
82,46,146.729,48.462,51.129,47.338,2,21,2,60.8,44.2,Green,wet,25.1,6209.575,LMGT3,race_010_sebring,10
82,47,148.682,49.394,51.854,47.578,2,22,2,57.8,41.9,Green,wet,25.1,6358.257,LMGT3,race_010_sebring,10
82,48,149.545,49.403,52.141,48.125,2,23,2,55.1,39.5,Green,wet,25.2,6507.803,LMGT3,race_010_sebring,10
82,49,149.359,48.796,52.11,47.487,2,24,2,52.3,37.2,Green,wet,25.2,6657.162,LMGT3,race_010_sebring,10
82,50,147.173,48.3,51.689,47.16,2,25,2,49.3,34.9,Green,wet,25.2,6804.335,LMGT3,race_010_sebring,10
82,51,149.708,49.16,51.951,47.926,2,26,2,46.5,32.5,Green,wet,25.2,6954.043,LMGT3,race_010_sebring,10
82,52,149.174,49.187,52.378,47.549,2,27,2,43.7,30.2,Green,wet,25.6,7103.217,LMGT3,race_010_sebring,10
82,53,150.505,49.809,52.368,48.016,2,28,2,40.8,27.8,Green,wet,25.6,7253.722,LMGT3,race_010_sebring,10
82,54,148.087,48.373,51.749,47.692,2,29,2,37.9,25.5,Green,wet,25.6,7401.809,LMGT3,race_010_sebring,10
82,55,150.035,49.8,52.82,48.045,2,30,2,35.1,23.2,Green,wet,25.6,7551.844,LMGT3,race_010_sebring,10
82,56,146.508,48.776,50.81,46.781,3,1,2,117.3,97.7,Green,wet,25.2,7776.6,LMGT3,race_010_sebring,10
82,57,145.386,47.519,50.929,46.606,3,2,2,114.6,95.3,Green,wet,25.2,7921.987,LMGT3,race_010_sebring,10
82,58,144.576,47.829,50.979,46.758,3,3,2,111.8,93.0,Green,wet,24.7,8066.563,LMGT3,race_010_sebring,10
82,59,145.11,47.409,50.451,46.397,3,4,2,109.1,90.6,Green,wet,24.7,8211.672,LMGT3,race_010_sebring,10
82,60,144.09,47.443,50.143,45.771,3,5,2,106.3,88.3,Green,wet,25.0,8355.762,LMGT3,race_010_sebring,10
82,61,146.481,48.098,50.785,47.11,3,6,2,103.5,86.0,Green,wet,25.0,8502.244,LMGT3,race_010_sebring,10
82,62,145.809,48.397,51.235,46.38,3,7,2,100.8,83.6,Green,wet,25.0,8648.053,LMGT3,race_010_sebring,10
82,63,146.124,48.221,50.667,46.962,3,8,2,98.1,81.3,Green,wet,25.0,8794.177,LMGT3,race_010_sebring,10
82,64,146.243,48.478,51.503,46.584,3,9,2,95.3,79.0,Green,wet,24.8,8940.42,LMGT3,race_010_sebring,10
82,65,145.831,48.481,51.022,46.354,3,10,2,92.5,76.6,Green,wet,24.8,9086.251,LMGT3,race_010_sebring,10
82,66,144.665,47.545,50.861,46.152,3,11,2,89.8,74.3,Green,wet,24.4,9230.917,LMGT3,race_010_sebring,10
82,67,146.724,47.926,51.607,46.667,3,12,2,86.9,71.9,Green,wet,24.4,9377.64,LMGT3,race_010_sebring,10
82,68,145.398,47.599,50.435,46.219,3,13,2,83.9,69.6,Green,wet,24.4,9523.039,LMGT3,race_010_sebring,10
