car_number,lap_number,pit_time_seconds,fuel_added,tire_change,driver_change,stint_completed,elapsed_time_seconds,race_id,race_index
82,25,72.635,69.4,True,True,1,3256.861,race_010_sebring,10
82,55,78.248,84.9,True,False,2,7551.844,race_010_sebring,10
82,88,84.097,92.5,True,False,3,12467.278,race_010_sebring,10
82,121,82.337,92.4,True,True,4,17507.98,race_010_sebring,10
82,154,80.22,92.3,True,False,5,22423.614,race_010_sebring,10
82,189,100.427,97.9,True,False,6,28631.033,race_010_sebring,10
82,224,86.175,98.2,True,False,7,34627.45,race_010_sebring,10
82,257,81.727,92.6,True,False,8,39676.705,race_010_sebring,10
64,23,67.021,65.0,True,False,1,2956.475,race_010_sebring,10
64,50,74.962,74.9,True,False,2,6736.195,race_010_sebring,10
64,81,95.784,87.9,True,False,3,11292.171,race_010_sebring,10
64,112,78.799,86.3,True,False,4,15984.747,race_010_sebring,10
64,143,93.754,86.5,True,False,5,20549.087,race_010_sebring,10
64,175,96.347,89.2,True,False,6,25583.916,race_010_sebring,10
64,211,88.068,100.9,True,False,7,32042.781,race_010_sebring,10
64,243,80.993,89.4,True,False,8,36980.816,race_010_sebring,10
64,274,79.994,86.1,True,False,9,41661.173,race_010_sebring,10
85,22,82.711,61.6,True,True,1,2821.814,race_010_sebring,10
85,48,72.355,72.6,True,False,2,6441.858,race_010_sebring,10
85,78,77.694,83.6,True,True,3,10847.852,race_010_sebring,10
85,108,92.847,83.8,True,False,4,15375.387,race_010_sebring,10
85,138,78.233,83.9,True,False,5,19797.768,race_010_sebring,10
85,168,77.742,83.5,True,True,6,24226.706,race_010_sebring,10
85,203,86.707,97.5,True,False,7,30522.713,race_010_sebring,10
85,235,80.132,89.2,True,False,8,35793.312,race_010_sebring,10
85,265,77.151,83.9,True,False,9,40319.99,race_010_sebring,10
90,24,70.969,67.0,True,False,1,3061.096,race_010_sebring,10
90,52,91.194,78.7,True,True,2,6973.469,race_010_sebring,10
90,83,93.669,87.5,True,True,3,11518.531,race_010_sebring,10
90,114,95.699,87.0,True,True,4,16183.457,race_010_sebring,10
90,145,92.496,86.4,True,False,5,20729.817,race_010_sebring,10
90,178,95.609,92.2,True,True,6,26062.349,race_010_sebring,10
90,214,103.164,100.8,True,False,7,32446.603,race_010_sebring,10
90,246,81.807,89.1,True,False,8,37270.718,race_010_sebring,10
90,277,95.008,87.7,True,False,9,41913.449,race_010_sebring,10
74,23,82.494,64.5,True,False,1,2981.241,race_010_sebring,10
74,51,77.378,79.2,True,False,2,6956.923,race_010_sebring,10
74,82,79.36,87.4,True,False,3,11571.812,race_010_sebring,10
74,113,77.78,86.5,True,False,4,16298.729,race_010_sebring,10
74,144,79.146,87.6,True,True,5,20912.223,race_010_sebring,10
74,177,97.528,91.8,True,False,6,26449.037,race_010_sebring,10
74,212,98.66,99.0,True,True,7,32699.992,race_010_sebring,10
74,244,82.811,90.2,True,True,8,37553.906,race_010_sebring,10
74,275,94.094,86.6,True,False,9,42285.28,race_010_sebring,10
57,24,67.772,67.1,True,False,1,3064.102,race_010_sebring,10
57,53,76.437,81.7,True,False,2,7115.372,race_010_sebring,10
