time_minutes,track_temp_c,air_temp_c,condition,humidity_pct,wind_speed_kph,race_id,race_index
0,25.3,17.3,dry,66.96411193132062,15.007986585803465,race_010_sebring,10
5,25.3,17.3,dry,60.611309507593774,22.753868983365454,race_010_sebring,10
10,24.9,16.9,dry,75.64966054392238,5.119987897936316,race_010_sebring,10
15,24.8,16.8,damp,62.56868259137066,9.67138724551376,race_010_sebring,10
20,25.1,17.1,damp,78.0619872177308,8.600911855765336,race_010_sebring,10
25,25.2,17.2,damp,50.14755925485562,19.422015429622494,race_010_sebring,10
30,25.4,17.4,damp,43.120841323984195,15.186772665484403,race_010_sebring,10
35,25.0,17.0,damp,61.98818205174617,21.95289240780214,race_010_sebring,10
40,25.5,17.5,damp,79.30922934779956,13.283242968389734,race_010_sebring,10
45,25.6,17.6,damp,55.07647372886629,12.991969056459494,race_010_sebring,10
50,25.6,17.6,damp,67.37935065710566,21.69097993057831,race_010_sebring,10
55,25.3,17.3,damp,78.71029597470944,17.723587918833672,race_010_sebring,10
60,25.0,17.0,damp,68.85351597000479,9.82198145021896,race_010_sebring,10
65,24.6,16.6,damp,54.52043938548418,7.072496835347679,race_010_sebring,10
70,24.5,16.5,damp,55.93007458481996,24.059698522505215,race_010_sebring,10
75,24.1,16.1,wet,76.50566034007494,12.986911428316933,race_010_sebring,10
80,24.4,16.4,wet,49.24977704562109,11.194156837228364,race_010_sebring,10
85,24.3,16.3,wet,60.964301179245,12.119067588850577,race_010_sebring,10
90,24.8,16.8,wet,67.34425034666941,18.483692170664302,race_010_sebring,10
95,24.6,16.6,wet,42.22802659407777,10.74015391617852,race_010_sebring,10
100,25.1,17.1,wet,44.441045485284675,15.523739703648424,race_010_sebring,10
105,25.2,17.2,wet,76.44507127577351,15.086224837885684,race_010_sebring,10
110,25.2,17.2,wet,78.00251072967345,15.088927422192658,race_010_sebring,10
115,25.6,17.6,wet,78.98669629123411,24.269549075762725,race_010_sebring,10
120,25.6,17.6,wet,56.78667439404996,5.735516510967667,race_010_sebring,10
125,25.2,17.2,wet,74.80641915166836,13.009992598288553,race_010_sebring,10
130,24.7,16.7,wet,58.41048672904478,18.585094988556655,race_010_sebring,10
135,25.0,17.0,wet,63.50287014892961,20.92746519447114,race_010_sebring,10
140,25.0,17.0,wet,73.56097535182481,9.03608324949648,race_010_sebring,10
145,24.8,16.8,wet,73.09795454765576,24.77387494561291,race_010_sebring,10
150,24.4,16.4,wet,44.617413097751324,17.705105638670553,race_010_sebring,10
155,24.4,16.4,wet,64.13452709148761,21.9409096630573,race_010_sebring,10
160,24.3,16.3,wet,45.76940966136944,16.880881821186584,race_010_sebring,10
165,24.4,16.4,wet,56.18220860454944,15.794466510864243,race_010_sebring,10
