car_number,lap_number,lap_time_seconds,sector_1,sector_2,sector_3,stint,stint_lap,driver_number,fuel_remaining,tire_life_pct,track_status,weather,track_temp_c,elapsed_time_seconds,class
51,1,137.549,45.392,48.181,44.2,1,1,1,116.7,96.3,Green,dry,18.5,137.549,LMGT3
51,2,139.29,46.41,49.119,44.709,1,2,1,113.3,92.7,Green,dry,18.5,276.839,LMGT3
51,3,138.494,45.776,48.101,44.629,1,3,1,110.1,89.0,Green,dry,18.5,415.333,LMGT3
51,4,138.625,46.067,48.67,44.067,1,4,1,106.8,85.4,Green,dry,18.3,553.958,LMGT3
51,5,137.191,45.15,47.556,44.019,1,5,1,103.7,81.7,Green,dry,18.3,691.149,LMGT3
51,6,137.43,45.237,48.282,43.818,1,6,1,100.5,78.1,Green,dry,18.6,828.579,LMGT3
51,7,137.293,45.5,47.901,44.37,1,7,1,97.3,74.4,Green,dry,18.6,965.872,LMGT3
51,8,136.76,45.598,47.914,43.687,1,8,1,94.1,70.7,Green,dry,18.3,1102.631,LMGT3
51,9,138.294,45.869,48.03,44.004,1,9,1,90.9,67.1,Green,dry,18.3,1240.925,LMGT3
51,10,138.393,45.732,48.176,44.466,1,10,1,87.5,63.4,Green,dry,18.6,1379.318,LMGT3
51,11,138.907,45.717,48.652,44.447,1,11,1,84.4,59.8,Green,dry,18.6,1518.225,LMGT3
51,12,138.003,45.141,47.854,44.619,1,12,1,81.3,56.1,Green,dry,19.0,1656.228,LMGT3
51,13,139.341,46.439,48.946,44.572,1,13,1,78.1,52.4,Green,dry,19.0,1795.569,LMGT3
51,14,138.434,45.275,48.554,44.353,1,14,1,75.1,48.8,Green,dry,19.0,1934.003,LMGT3
51,15,138.798,46.085,48.193,44.846,1,15,1,71.7,45.1,Green,dry,18.9,2072.801,LMGT3
51,16,141.219,46.158,49.664,45.236,1,16,1,68.4,41.5,Green,dry,18.9,2214.02,LMGT3
51,17,140.765,46.641,49.605,45.412,1,17,1,65.0,37.8,Green,dry,18.7,2354.785,LMGT3
51,18,141.431,46.395,49.398,45.65,1,18,1,61.9,34.2,Green,dry,18.7,2496.217,LMGT3
51,19,139.771,45.858,49.001,45.09,1,19,1,58.6,30.5,Green,dry,19.0,2635.988,LMGT3
51,20,142.131,47.311,49.838,45.332,1,20,1,55.5,26.8,Green,dry,19.0,2778.119,LMGT3
51,21,141.947,46.72,49.886,45.172,1,21,1,52.3,23.2,Green,dry,18.6,2920.066,LMGT3
51,22,138.63,45.989,48.788,44.684,2,1,2,116.8,96.3,Green,dry,18.6,3130.266,LMGT3
51,23,139.651,45.822,48.778,44.666,2,2,2,113.5,92.7,Green,dry,18.3,3269.917,LMGT3
51,24,136.521,44.988,48.084,44.164,2,3,2,110.3,89.0,Green,dry,18.3,3406.438,LMGT3
51,25,137.892,45.048,48.687,44.545,2,4,2,107.2,85.4,Green,dry,18.5,3544.329,LMGT3
51,26,137.129,44.828,47.661,43.598,2,5,2,103.9,81.7,Green,dry,18.5,3681.459,LMGT3
51,27,137.322,45.513,47.947,44.18,2,6,2,100.5,78.1,Green,dry,18.2,3818.781,LMGT3
51,28,139.107,45.463,48.582,44.121,2,7,2,97.2,74.4,Green,dry,18.2,3957.888,LMGT3
51,29,137.574,45.546,48.039,43.753,2,8,2,94.1,70.7,Green,dry,18.5,4095.462,LMGT3
51,30,137.454,45.12,48.062,43.518,2,9,2,90.9,67.1,Green,dry,18.5,4232.916,LMGT3
51,31,137.564,45.499,47.918,43.654,2,10,2,87.8,63.4,Green,dry,18.5,4370.48,LMGT3
51,32,137.074,45.151,48.057,44.283,2,11,2,84.4,59.8,Green,dry,18.5,4507.554,LMGT3
51,33,137.168,45.317,47.674,43.805,2,12,2,81.1,56.1,Green,dry,18.3,4644.722,LMGT3
51,34,139.163,46.409,48.584,44.782,2,13,2,77.9,52.4,Green,dry,18.3,4783.884,LMGT3
51,35,138.171,45.665,47.923,43.751,2,14,2,74.6,48.8,Green,dry,18.3,4922.055,LMGT3
51,36,138.594,45.311,48.7,44.384,2,15,2,71.6,45.1,Green,dry,18.1,5060.649,LMGT3
51,37,140.607,46.486,49.439,45.251,2,16,2,68.2,41.5,Green,dry,18.1,5201.256,LMGT3
51,38,139.862,45.859,48.703,44.53,2,17,2,65.1,37.8,Green,dry,17.9,5341.118,LMGT3
51,39,139.674,46.349,48.433,44.464,2,18,2,61.8,34.2,Green,dry,17.9,5480.792,LMGT3
51,40,139.439,45.991,49.135,44.428,2,19,2,58.6,30.5,Green,dry,18.1,5620.23,LMGT3
51,41,141.969,46.438,49.981,45.52,2,20,2,55.3,26.8,Green,dry,18.1,5762.199,LMGT3
51,42,141.318,46.92,49.601,45.527,2,21,2,52.1,23.2,Green,dry,17.8,5903.517,LMGT3
51,43,139.21,45.994,48.314,44.773,3,1,2,116.8,96.3,Green,dry,17.8,6130.156,LMGT3
51,44,139.119,46.32,48.489,44.542,3,2,2,113.6,92.7,Green,dry,17.6,6269.275,LMGT3
51,45,138.227,45.574,48.722,44.502,3,3,2,110.3,89.0,Green,dry,17.6,6407.502,LMGT3
51,46,136.568,45.188,47.646,43.411,3,4,2,107.2,85.4,Green,dry,17.2,6544.071,LMGT3
51,47,138.056,45.596,48.28,44.263,3,5,2,104.1,81.7,Green,dry,17.2,6682.126,LMGT3
51,48,137.636,45.1,48.369,43.955,3,6,2,100.8,78.1,Green,dry,17.1,6819.762,LMGT3
